mapsName,mapsAddress,mapsSite,mapsPhone,firstMatch
Centre d'action Social,"36 Rue Gueroux, 93380 Pierrefitte-sur-Seine",mairie-pierrefitte93.fr,01 72 09 32 90,True
Centre d'action Social,"36 Rue Gueroux, 93380 Pierrefitte-sur-Seine",mairie-pierrefitte93.fr,01 72 09 32 90,False
Centre Communal d'action Sociale,"6 Pl. de la République, 93400 Saint-Ouen-sur-Seine",NA,01 49 45 68 69,True
CCAS de Sevran,"2 Rue Paul Langevin, 93270 Sevran",ville-sevran.fr,01 49 36 51 95,True
Mairie d'Épinay-sur-Seine,"1-3 Rue Quetigny, 93800 Épinay-sur-Seine",epinay-sur-seine.fr,01 49 71 99 99,False
CCAS Montreuil,"8 Rue de Rosny, 93100 Montreuil",ccas.fr,NA,False
NA,NA,NA,NA,NA
Caisse des Ecoles du 19ème,"57 Rue de Romainville, 75019 Paris",mairie19.paris.fr,01 42 08 96 60,False
EHPAD Emile Gérard,"30 All. de Joinville, 93190 Livry-Gargan",ehpadegerard.com,01 41 70 11 11,True
EHPAD LA SEIGNEURIE,"7 Rue Kléber, 93500 Pantin",la-seigneurie.fr,01 41 83 17 90,True
Centre Hospitalier de Saint-Denis,"2 Rue du Dr Delafontaine, 93200 Saint-Denis",ch-stdenis.fr,01 42 35 61 40,True
EHPAD Public Lumières D'Automne,"15 bis Rue Edgar Quinet, 93400 Saint-Ouen-sur-Seine",lumieres-automne.org,01 49 18 92 00,True
ESAT MARSOULAN,"64/66 Rue Robespierre, 93100 Montreuil",esathm.fr,01 41 72 09 20,True
Ctre Hospitalier Intercomm R Ballanger,"13 Rue Charles Conrad, 93270 Sevran",NA,01 43 85 85 31,False
Maison de Retraite Gaston Monmousseau,"9 Rue Gaston Monmousseau, 93150 Le Blanc-Mesnil",NA,01 48 67 23 56,True
EHPAD public Constance Mazier,"4 Rue Hemet, 93300 Aubervilliers",ehpad-constancemazier.fr,01 53 56 35 35,True
Hôpital André Grégoire,"56 Bd de la Boissière, 93100 Montreuil",chi-andre-gregoire.fr,01 49 20 30 40,True
Institut Medico Educatif,"11 Rue Pierre Brossolette, 93200 Saint-Denis",NA,01 49 71 17 60,False
CIAS,"73 Rue Louise Michel, 93170 Bagnolet",NA,09 67 21 17 75,True
C.D.E.F. (Centre Départemental Enfants et Familles),"1-3 Prom. Jean Rostand Hall A, 93000 Bobigny",cdef-93.com,01 41 50 58 70,False
Centre communal d'action sociale pôle social et pôle insertion,"193 Rue de Paris, 93260 Les Lilas",ville-leslilas.fr,01 41 58 10 91,False
Centre administratif municipal,"7 Av. Adrien Raynal, 94310 Orly",mairie-orly.fr,01 48 90 20 00,False
Centre Communal d'Action Sociale (CCAS) de Villejuif,"2 Espl. Pierre-Yves Cosnier, 94800 Villejuif",villejuif.fr,01 45 59 20 20,True
Mairie Hôtel de ville Fontenay,"28 Rue Guérin Leroux, 4 esplanade Louis Bayeurte, 94120 Fontenay-sous-Bois",fontenay.fr,01 49 74 74 74,True
Centre administratif municipal,"7 Av. Adrien Raynal, 94310 Orly",mairie-orly.fr,01 48 90 20 00,False
CAPF,"161 Rue de Fontenay, 94300 Vincennes",capf-formations.com,01 58 64 04 82,False
Maison de Retraite Gourlet Bontemps,"117 Av. du 8 Mai 1945, 94170 Le Perreux-sur-Marne",fondationgourletbontemps.fr,01 43 24 25 02,True
Maison de Retraite Intercommunale Hector Malot,"74 Av. de Stalingrad, 94120 Fontenay-sous-Bois",gcsms-ehpadpublics94.fr,01 41 95 41 00,False
Groupe Hospitalier Paul Guiraud,"54 Av. de la République, 94800 Villejuif",gh-paulguiraud.fr,01 42 11 70 00,True
Centre Communal d'action Sociale,"14 Rue Louis Talamoni, 94500 Champigny-sur-Marne",NA,01 45 16 40 00,True
Résidence de la Cité Verte,"4 Rue de la Cité Verte, 94370 Sucy-en-Brie",abcd94.fr,01 56 73 20 40,True
CHS Fondation Vallée,"7 Rue Benserade, 94250 Gentilly",ch-fondationvallee.fr,01 41 24 81 00,True
