denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
SARL EN TOUTE SECURITE,ETS,,,,,ETS,,,,100 à 199 salariés,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,False,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,IMMEUBLE ORNANO 1,32,T,BD,ORNANO,93200,SAINT-DENIS,,93066,0,,,0,,,,0,,,0,,
LOGISTA FRANCE,,,,,,,,,,100 à 199 salariés,Commerce de gros (commerce interentreprises) de produits à base de tabac,Commerce de gros (commerce interentreprises) de produits à base de tabac,Commerce de gros de produits à base de tabac,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de gros (commerce interentreprises) de produits à base de tabac,Commerce de gros de produits à base de tabac,"Commerce de gros de produits alimentaires, de boissons et de tabac","Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,PARC ACTIVITE PARIS EST,0,,RUE,DE LA MAISON ROUGE,77185,LOGNES,,77258,0,,,0,,,,0,,,0,,
LOGIVITAE,,,,,,,,,,100 à 199 salariés,Aide à domicile,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,True,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,,28,,RUE,DE WATTIGNIES,75012,PARIS 12,,75112,0,,,0,,,,0,,,0,,
VIATYS CONSEIL,,,,,,,,,,100 à 199 salariés,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",True,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",,163,,AV,ACHILLE PERETTI,92200,NEUILLY-SUR-SEINE,,92051,0,,,0,,,,0,,,0,,
FRANCE PLASTIQUES RECYCLAGE,,,,,,,,,,100 à 199 salariés,Récupération de déchets triés,Récupération de déchets triés,Récupération de déchets triés,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",True,Récupération de déchets triés,Récupération de déchets triés,Récupération,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",PORT DE LIMAY,0,,RTE,DES PRES DE LA MER,78520,LIMAY,,78335,0,,,0,,,,0,,,0,,
IVS FRANCE,,,,,,,,,,100 à 199 salariés,"Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a.","Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a.","Autres commerces de détail hors magasin, éventaires ou marchés","Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,"Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a.","Autres commerces de détail hors magasin, éventaires ou marchés","Commerce de détail hors magasin, éventaires ou marchés","Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,3,,RUE,GEORGES MELIES,95240,CORMEILLES-EN-PARISIS,,95176,0,,,0,,,,0,,,0,,
THEODO,,,,,,,,,,100 à 199 salariés,Programmation informatique,Programmation informatique,Programmation informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Programmation informatique,Programmation informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,,48,,BD,DES BATIGNOLLES,75017,PARIS 17,,75117,0,,,0,,,,0,,,0,,
IMAGINE INSTITUT DES MALADIES GENETIQUES NECKER ENFANTS MALADES,,,,,,,,,,100 à 199 salariés,Recherche-développement en biotechnologie,Recherche-développement en biotechnologie,Recherche-développement en biotechnologie,Recherche-développement scientifique,"Activités spécialisées, scientifiques et techniques",True,Recherche-développement en biotechnologie,Recherche-développement en biotechnologie,Recherche-développement en sciences physiques et naturelles,Recherche-développement scientifique,"Activités spécialisées, scientifiques et techniques",,24,,BD,DU MONTPARNASSE,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
AVISIA,,AVISIA,,,,,,,,100 à 199 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,,48,,AV,VICTOR HUGO,75116,PARIS 16,,75116,0,,,0,,,,0,,,0,,
SWISS LIFE ASSET MANAGERS FRANCE,,VIVERIS REIM,,,SWISS LIFE REIM (FRANCE),,,,,100 à 199 salariés,Gestion de fonds,Gestion de fonds,Gestion de fonds,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,False,Gestion de fonds,Gestion de fonds,Gestion de fonds,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,,153,,RUE,SAINT HONORE,75001,PARIS 1,,75101,0,,,0,,,,0,,,0,,
SERINE 78,,,,,,,,,,100 à 199 salariés,Transports routiers réguliers de voyageurs,Transports routiers réguliers de voyageurs,Autres transports terrestres de voyageurs n.c.a.,Transports terrestres et transport par conduites,Transports et entreposage,True,Transports routiers réguliers de voyageurs,Autres transports terrestres de voyageurs n.c.a.,Autres transports terrestres de voyageurs,Transports terrestres et transport par conduites,Transports et entreposage,,35,,RUE,DES CHANTIERS,78000,VERSAILLES,,78646,0,,,0,,,,0,,,0,,
LGM INGENIERIE,,,,,,,,,,100 à 199 salariés,"Ingénierie, études techniques","Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",True,"Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",VELIZY ESPACE,13,,AV,MORANE SAULNIER,78140,VELIZY-VILLACOUBLAY,,78640,0,,,0,,,,0,,,0,,
TERADATA FRANCE,,,,,,,,,,100 à 199 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,02-Jun,2,,PL,DU GEN DE GAULLE,92160,ANTONY,,92002,0,,,0,,,,0,,,0,,
CONVERTEO,,CONVERTEO,,,,,,,,100 à 199 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,,117,,QUAI,DE VALMY,75010,PARIS 10,,75110,0,,,0,,,,0,,,0,,
FINANCIERE APSYS,,,,,APSYS,,,,,100 à 199 salariés,Agences immobilières,Agences immobilières,Agences immobilières,Activités immobilières,Activités immobilières,True,Agences immobilières,Agences immobilières,Activités immobilières pour compte de tiers,Activités immobilières,Activités immobilières,28-32,28,,AV,VICTOR HUGO,75116,PARIS 16,,75116,0,,,0,,,,0,,,0,,
MARRIOTT HOTELS MANAGEMENT FRANCE SAS,,,,,,,,,,100 à 199 salariés,Activités des agences de placement de main-d'œuvre,Activités des agences de placement de main-d'œuvre,Activités des agences de placement de main-d'œuvre,Activités liées à l'emploi,Activités de services administratifs et de soutien,True,Activités des agences de placement de main-d'œuvre,Activités des agences de placement de main-d'œuvre,Activités des agences de placement de main-d'œuvre,Activités liées à l'emploi,Activités de services administratifs et de soutien,,70,,AV,DES CHAMPS ELYSEES,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
THE HOXTON (PARIS),,,,,,,,,,100 à 199 salariés,Hôtels et hébergement similaire,Hôtels et hébergement similaire,Hôtels et hébergement similaire,Hébergement,Hébergement et restauration,True,Hôtels et hébergement similaire,Hôtels et hébergement similaire,Hôtels et hébergement similaire,Hébergement,Hébergement et restauration,30-32,30,,RUE,DU SENTIER,75002,PARIS 2,,75102,0,,,0,,,,0,,,0,,
MUTUELLE GENERALE DE L'ECONOMIE DES FINANCES ET DE L INDUSTRIE,MGEFI,,,,,MGEFI,,,,100 à 199 salariés,Autres assurances,Autres assurances,Autres assurances,Assurance,Activités financières et d'assurance,True,Autres assurances,Autres assurances,Assurance,Assurance,Activités financières et d'assurance,04-Aug,4,,RUE,BOUCHARDON,75010,PARIS 10,,75110,0,,,0,,,,0,,,0,,
LE CERCLE DES VACANCES,,LE CERCLE DES VACANCES,LE CERCLE DES VOLS BILLETDISCOUNT,VOYAGE SPA L AGENCE DU BIEN ETRE,,,,,,100 à 199 salariés,Activités des agences de voyage,Activités des agences de voyage,Activités des agences de voyage,"Activités des agences de voyage, voyagistes, services de réservation et activités connexes",Activités de services administratifs et de soutien,True,Activités des agences de voyage,Activités des agences de voyage,Activités des agences de voyage et voyagistes,"Activités des agences de voyage, voyagistes, services de réservation et activités connexes",Activités de services administratifs et de soutien,,31,,AV,DE L OPERA,75001,PARIS 1,,75101,0,,,0,,,,0,,,0,,
ETAMPES DIS,,,,,,,LECLERC,,,100 à 199 salariés,Hypermarchés,Hypermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Hypermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,Commerce de détail en magasin non spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,ZAC DU PLATEAU DE GUINETTE,50,,RUE,DES LYS,91150,ETAMPES,,91223,0,,,0,,,,0,,,0,,
SOFTATHOME,,,,,,,,,,100 à 199 salariés,Programmation informatique,Programmation informatique,Programmation informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Autres activités de télécommunication,Autres activités de télécommunication,Autres activités de télécommunication,Télécommunications,Information et communication,09-Nov,9,,RUE,DU DEBARCADERE,92700,COLOMBES,,92025,0,,,0,,,,0,,,0,,
SODIPERS EXPANSION SAS,,,,,,,,,,100 à 199 salariés,Hypermarchés,Hypermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Hypermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,Commerce de détail en magasin non spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,0,,RUE,DU HUIT MAI 1945,95340,PERSAN,,95487,0,,,0,,,,0,,,0,,
DECATHLON FRANCE,,,,,,,DECATHLON,,,100 à 199 salariés,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail de biens culturels et de loisirs en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,ZAC ROUTE NATIONAL 14,12,,,MAIL COPISTES,95220,HERBLAY-SUR-SEINE,,95306,0,,,0,,,,0,,,0,,
DECATHLON FRANCE,,,,,,,,,,100 à 199 salariés,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail de biens culturels et de loisirs en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,23,,BD,DE LA MADELEINE,75001,PARIS 1,,75101,0,,,0,,,,0,,,0,,
DECATHLON FRANCE,,,,,,,DECATHLON,,,100 à 199 salariés,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail de biens culturels et de loisirs en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,63,,RUE,DE LA REPUBLIQUE,93100,MONTREUIL,,93048,0,,,0,,,,0,,,0,,
DECATHLON FRANCE,,,,,,,DECATHLON,,,100 à 199 salariés,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail de biens culturels et de loisirs en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,25,,ALL,DU 1 MAI,77183,CROISSY-BEAUBOURG,,77146,0,,,0,,,,0,,,0,,
DECATHLON FRANCE,,,,,,,DECATHLON,,,100 à 199 salariés,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail de biens culturels et de loisirs en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,2,,PL,DE LA DEFENSE,92800,PUTEAUX,,92062,0,,,0,,,,0,,,0,,
STEF LOGISTIQUE VITRY,,STEF,,,,,STEF,,,100 à 199 salariés,Entreposage et stockage frigorifique,Entreposage et stockage frigorifique,Entreposage et stockage,Entreposage et services auxiliaires des transports,Transports et entreposage,True,Entreposage et stockage frigorifique,Entreposage et stockage,Entreposage et stockage,Entreposage et services auxiliaires des transports,Transports et entreposage,,47,,RUE,CHARLES HELLER,94400,VITRY-SUR-SEINE,,94081,0,,,0,,,,0,,,0,,
STEF LOGISTIQUE DISTRIBUTION VITRY,,STEF,,,,,STEF,,,100 à 199 salariés,Entreposage et stockage frigorifique,Entreposage et stockage frigorifique,Entreposage et stockage,Entreposage et services auxiliaires des transports,Transports et entreposage,True,Entreposage et stockage frigorifique,Entreposage et stockage,Entreposage et stockage,Entreposage et services auxiliaires des transports,Transports et entreposage,,47,,RUE,CHARLES HELLER,94400,VITRY-SUR-SEINE,,94081,0,,,0,,,,0,,,0,,
MCDONALD S EST PARISIEN,,,,,,,MCDONALD'S,,,100 à 199 salariés,Restauration de type rapide,Restauration de type rapide,Restaurants et services de restauration mobile,Restauration,Hébergement et restauration,False,Restauration de type rapide,Restaurants et services de restauration mobile,Restaurants et services de restauration mobile,Restauration,Hébergement et restauration,ZAC DU PARC ET DU CENTRE TOURISTIQUE,0,,,LIEUDIT DISNEY VILLAGE,77700,CHESSY,,77111,0,,,0,,,,0,,,0,,
MCDONALD S EST PARISIEN,,,,,,,,,,100 à 199 salariés,Restauration de type rapide,Restauration de type rapide,Restaurants et services de restauration mobile,Restauration,Hébergement et restauration,False,Restauration de type rapide,Restaurants et services de restauration mobile,Restaurants et services de restauration mobile,Restauration,Hébergement et restauration,LOCAL R1225,0,,,CTRE CIAL VAL D'EUROPE,77700,SERRIS,,77449,0,,,0,,,,0,,,0,,
LM SERVICES,,APEF AGCE PROF DE L'EMPLOI FAMILIAL,,,,,,,,100 à 199 salariés,Aide à domicile,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,False,Autres services personnels n.c.a.,Autres services personnels n.c.a.,Autres services personnels,Autres services personnels,Autres activités de services,,86,,AV,ARISTIDE BRIAND,93190,LIVRY-GARGAN,,93046,0,,,0,,,,0,,,0,,
GEODIS CL GEOPARTS,,,,,,,,,,100 à 199 salariés,"Ingénierie, études techniques","Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",False,"Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",PARC DE L'A5 SENART,993,,RUE,DENIS PAPIN,77550,MOISSY-CRAMAYEL,,77296,0,,,0,,,,0,,,0,,
DAVIDSON SI,,,,,,,,,,100 à 199 salariés,"Ingénierie, études techniques","Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",True,"Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",,40,,RUE,FANFAN LA TULIPE,92100,BOULOGNE-BILLANCOURT,,92012,0,,,0,,,,0,,,0,,
ORANO MINING,,,,,,,,,,100 à 199 salariés,Commerce de gros (commerce interentreprises) de minerais et métaux,Commerce de gros (commerce interentreprises) de minerais et métaux,Commerce de gros de minerais et métaux,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Enrichissement et retraitement de matières nucléaires,Fabrication d'autres produits chimiques inorganiques de base,"Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique",Industrie chimique,Industrie manufacturière,,125,,AV,DE PARIS,92320,CHATILLON,,92020,0,,,0,,,,0,,,0,,
MASTERIS,IMTS,,,,,IMTS,,,,100 à 199 salariés,"Ingénierie, études techniques","Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",True,"Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",,4,,RUE,ANDRE CAMPRA,93210,SAINT-DENIS,,93066,0,,,0,,,,0,,,0,,
GROUPEMENT D'EMPLOYEURS FRANCE ACTIVE,ASS,GEFA,,,,ASS,,,,100 à 199 salariés,Autre mise à disposition de ressources humaines,Autre mise à disposition de ressources humaines,Autre mise à disposition de ressources humaines,Activités liées à l'emploi,Activités de services administratifs et de soutien,True,Autre mise à disposition de ressources humaines,Autre mise à disposition de ressources humaines,Autre mise à disposition de ressources humaines,Activités liées à l'emploi,Activités de services administratifs et de soutien,TOUR 9,3,,RUE,FRANKLIN,93100,MONTREUIL,,93048,0,,,0,,,,0,,,0,,
DALKIA SMART BUILDING,,,,,,,,,,100 à 199 salariés,"Ingénierie, études techniques","Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",True,"Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",TOUR EUROPE,33,,PL,DES COROLLES,92400,COURBEVOIE,TSA11400,92026,92049,PARIS LA DEFENSE CEDEX,,0,,,,0,,,0,,
DELANCHY PRESTATIONS DE SERVICES 91 DPS 91,,,,,,,,,,100 à 199 salariés,Entreposage et stockage frigorifique,Entreposage et stockage frigorifique,Entreposage et stockage,Entreposage et services auxiliaires des transports,Transports et entreposage,False,Entreposage et stockage frigorifique,Entreposage et stockage,Entreposage et stockage,Entreposage et services auxiliaires des transports,Transports et entreposage,,36,,RTE,DE LONGJUMEAU,91380,CHILLY-MAZARIN,,91161,0,,,0,,,,0,,,0,,
VIVERIS TECHNOLOGIES,,,,,,,,,,100 à 199 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,,54,,RUE,D ARCUEIL,94150,RUNGIS,,94065,0,,,0,,,,0,,,0,,
MARCO VASCO,,,,,MARCO VASCO,,MARCO VASCO,,,100 à 199 salariés,Activités des voyagistes,Activités des voyagistes,Activités des voyagistes,"Activités des agences de voyage, voyagistes, services de réservation et activités connexes",Activités de services administratifs et de soutien,True,Activités des voyagistes,Activités des voyagistes,Activités des agences de voyage et voyagistes,"Activités des agences de voyage, voyagistes, services de réservation et activités connexes",Activités de services administratifs et de soutien,,101,,RUE,DE L ABBE GROULT,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
TECNOLOGIE INDUSTRIALI & AMBIENTALI S.P.A,,,,,TIA SPA,,,,,100 à 199 salariés,Dépollution et autres services de gestion des déchets,Dépollution et autres services de gestion des déchets,Dépollution et autres services de gestion des déchets,Dépollution et autres services de gestion des déchets,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",False,Dépollution et autres services de gestion des déchets,Dépollution et autres services de gestion des déchets,Dépollution et autres services de gestion des déchets,Dépollution et autres services de gestion des déchets,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",,22,,AV,DE L OPERA,75001,PARIS 1,,75101,0,,,0,,,,0,,,0,,
MILLIMAN SAS,,,,,,,,,,100 à 199 salariés,Autres activités auxiliaires d'assurance et de caisses de retraite,Autres activités auxiliaires d'assurance et de caisses de retraite,Autres activités auxiliaires d'assurance et de caisses de retraite,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,True,Autres activités auxiliaires d'assurance et de caisses de retraite,Autres activités auxiliaires d'assurance et de caisses de retraite,Activités auxiliaires d'assurance et de caisses de retraite,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,,14,,AV,DE LA GRANDE ARMEE,75017,PARIS 17,,75117,0,,,0,,,,0,,,0,,
AMAURY SERVICES,,,,,,,,,,100 à 199 salariés,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",True,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",40-42,40,,QUAI,DU POINT DU JOUR,92100,BOULOGNE-BILLANCOURT,,92012,0,,,0,,,,0,,,0,,
AMIANTECH,,AMIANTECH,,,,,,,,100 à 199 salariés,Dépollution et autres services de gestion des déchets,Dépollution et autres services de gestion des déchets,Dépollution et autres services de gestion des déchets,Dépollution et autres services de gestion des déchets,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",True,Dépollution et autres services de gestion des déchets,Dépollution et autres services de gestion des déchets,Dépollution et autres services de gestion des déchets,Dépollution et autres services de gestion des déchets,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",ZI LAVOISIER,6,,RUE,LEBON,77220,PRESLES-EN-BRIE,,77377,0,,,0,,,,0,,,0,,
AILANCY,,,,,,,,,,100 à 199 salariés,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",True,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",,32,,RUE,DE PONTHIEU,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
DEVIALET,,DEVIALET,,,,,,,,100 à 199 salariés,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros d'appareils électroménagers,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,"Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",,35,,RUE,LA BOETIE,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
KONBINI,,KONBINI,,,KONBINI,,,,,100 à 199 salariés,Production de films institutionnels et publicitaires,Production de films institutionnels et publicitaires,"Production de films cinématographiques, de vidéo et de programmes de télévision","Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",Information et communication,True,Production de films institutionnels et publicitaires,"Production de films cinématographiques, de vidéo et de programmes de télévision","Activités cinématographiques, vidéo et de télévision","Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",Information et communication,,48,,AV,CLAUDE VELLEFAUX,75010,PARIS 10,,75110,0,,,0,,,,0,,,0,,
ASSOCIATION SERVICES PERSO,,,,,,,,,,100 à 199 salariés,Aide à domicile,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,True,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,,9,,CHE,DES POULIES,93200,SAINT-DENIS,,93066,0,,,0,,,,0,,,0,,
DAVEO,,DAVEO,,,,,,,,100 à 199 salariés,"Ingénierie, études techniques","Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",True,"Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",,19,,RUE,DU QUATRE SEPTEMBRE,75002,PARIS 2,,75102,0,,,0,,,,0,,,0,,
