denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
SOCIETE AIR FRANCE,,SKYTEAM,,,,,,,,100 à 199 salariés,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,False,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,,0,,RUE,DES DEUX SOEURS,95700,ROISSY-EN-FRANCE,,95527,0,,,0,,,,0,,,0,,
SOCIETE AIR FRANCE,,SKYTEAM,,,,,,,,100 à 199 salariés,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,False,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,,0,,RUE,DE LA HAYE,93290,TREMBLAY-EN-FRANCE,,93073,0,,,0,,,,0,,,0,,
SOCIETE AIR FRANCE,,SKYTEAM,,,,,,,,100 à 199 salariés,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,False,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,AEROPORT CHARLES DE GAULLE,0,,RUE,PERICHET,77990,LE MESNIL-AMELOT,,77291,0,,,0,,,,0,,,0,,
EIFFAGE ENERGIE SYSTEMES  ILE DE FRANCE,EES  IDF,,,,,EES  IDF,,,,100 à 199 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,False,Travaux d'installation électrique dans tous locaux,Installation électrique,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,,8,,RUE,JOSEPH PAXTON,77164,FERRIERES-EN-BRIE,,77181,0,,,0,,,,0,,,0,,
EIFFAGE ENERGIE SYSTEMES  ILE DE FRANCE,EES  IDF,,,,,EES  IDF,,,,100 à 199 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,False,Travaux d'installation électrique dans tous locaux,Installation électrique,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,,8,B,RUE,JOSEPH PAXTON,77164,FERRIERES-EN-BRIE,,77181,0,,,0,,,,0,,,0,,
DUALIS,,,,,,,,,,100 à 199 salariés,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",True,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",,20,,RUE,JOUBERT,75009,PARIS 9,,75109,0,,,0,,,,0,,,0,,
APPROCHE SUR MESURE (A.S.M.),,,,,,,,,,100 à 199 salariés,Activités de centres d'appels,Activités de centres d'appels,Activités de centres d'appels,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,True,Activités de centres d'appels,Activités de centres d'appels,Activités de centres d'appels,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,,63,,RUE,EDOUARD VAILLANT,92300,LEVALLOIS-PERRET,,92044,0,,,0,,,,0,,,0,,
LABORATOIRE HRA-PHARMA,,,,,,,,,,100 à 199 salariés,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,Commerce de gros de produits pharmaceutiques,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,Commerce de gros de produits pharmaceutiques,Commerce de gros de biens domestiques,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,200,,AV,DE PARIS,92320,CHATILLON,,92020,0,,,0,,,,0,,,0,,
TDS,,,,,,,,,,100 à 199 salariés,Transports routiers de fret interurbains,Transports routiers de fret interurbains,Transports routiers de fret,Transports terrestres et transport par conduites,Transports et entreposage,True,Transports routiers de fret de proximité,Transports routiers de fret,Transports routiers de fret et services de déménagement,Transports terrestres et transport par conduites,Transports et entreposage,ZI DU PETIT TAILLIS,0,,RTE,DE PROVINS,77320,LA FERTE-GAUCHER,,77182,0,,,0,,,,0,,,0,,
GEA PROCESS ENGINEERING,,JET PUMPS NIRO KESTNER SCAMI WIEGAND,,,,,,,,100 à 199 salariés,Installation de machines et équipements mécaniques,Installation de machines et équipements mécaniques,Installation de machines et d'équipements industriels,Réparation et installation de machines et d'équipements,Industrie manufacturière,True,Installation de machines et équipements mécaniques,Installation de machines et d'équipements industriels,Installation de machines et d'équipements industriels,Réparation et installation de machines et d'équipements,Industrie manufacturière,,4,,RUE,JEAN PIERRE TIMBAUD,78180,MONTIGNY-LE-BRETONNEUX,,78423,0,,,0,,,,0,,,0,,
