denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
LES FACADES EUROPEENNES,,,,,,,,,,50 à 99 salariés,Travaux de peinture et vitrerie,Travaux de peinture et vitrerie,Travaux de peinture et vitrerie,Travaux de construction spécialisés,Construction,True,Travaux de peinture et vitrerie,Travaux de peinture et vitrerie,Travaux de finition,Travaux de construction spécialisés,Construction,069 A 073,69,,AV,DE LA REPUBLIQUE,92320,CHATILLON,,92020,0,,,0,,,,0,,,0,,
REVIMA SOA SAS,CFR,,,,,CFR,,,,50 à 99 salariés,Réparation de machines et équipements mécaniques,Réparation de machines et équipements mécaniques,Réparation de machines et équipements mécaniques,Réparation et installation de machines et d'équipements,Industrie manufacturière,True,Réparation de machines et équipements mécaniques,Réparation de machines et équipements mécaniques,"Réparation d'ouvrages en métaux, de machines et d'équipements",Réparation et installation de machines et d'équipements,Industrie manufacturière,,0,,AV,DU VERT GALANT,95310,SAINT OUEN L'AUMONE,,95572,0,,,0,,,,0,,,0,,
AMI SERVICES,,,,,,,,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,31,,,CRS ALBERT PREMIER,95600,EAUBONNE,,95203,0,,,0,,,,0,,,0,,
RIGHT MANAGEMENT SAS,,RIGHT GARON BONVALOT-RIGHT MANAGEMENT,,,,,,,,50 à 99 salariés,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",True,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",TOUR ATLANTIQUE,1,,PL,DE LA PYRAMIDE,92800,PUTEAUX,,92062,92911,PARIS LA DEFENSE CEDEX,,0,,,,0,,,0,,
SA VITEC,,,,,VITEC,,S.A. VITEC,,,50 à 99 salariés,Fabrication de cartes électroniques assemblées,Fabrication de cartes électroniques assemblées,Fabrication de cartes électroniques assemblées,"Fabrication de produits informatiques, électroniques et optiques",Industrie manufacturière,False,"Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",,99,,RUE,PIERRE SEMARD,92320,CHATILLON,,92020,92324,CHATILLON CEDEX,,0,,,,0,,,0,,
ORANGE BUSINESS SERVICES,,,,,,,,,,50 à 99 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,False,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,,892,,RUE,YVES KERMEN,92100,BOULOGNE-BILLANCOURT,,92012,0,,,0,,,,0,,,0,,
ORANGE BUSINESS SERVICES,,,,,,,,,,50 à 99 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,False,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,IMMEUBLE LES VILLAGES 6,31,,PL,RONDE,92800,PUTEAUX,,92062,0,,,0,,,,0,,,0,,
DECADE,,,,,,,,,,50 à 99 salariés,Programmation informatique,Programmation informatique,Programmation informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Programmation informatique,Programmation informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,18,26,,RUE,GOUBET,75019,PARIS 19,,75119,0,,,0,,,,0,,,0,,
CARREFOUR PROXIMITE FRANCE,,,,,,,,,,50 à 99 salariés,Supermarchés,Supermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Services administratifs combinés de bureau,Services administratifs combinés de bureau,Activités administratives,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,,93,,AV,DE PARIS,91300,MASSY,,91377,0,,,0,,,,0,,,0,,
CARREFOUR PROXIMITE FRANCE,,,,,,,,,,50 à 99 salariés,Supermarchés,Supermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Services administratifs combinés de bureau,Services administratifs combinés de bureau,Activités administratives,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,,8,,AV,DE LA TREMBLAIE,91220,LE PLESSIS-PATE,,91494,0,,,0,,,,0,,,0,,
ADIENT SEATING,,,,,,,,,,50 à 99 salariés,Fabrication d'autres équipements automobiles,Fabrication d'autres équipements automobiles,Fabrication d'autres équipements automobiles,Industrie automobile,Industrie manufacturière,False,Fabrication d'autres équipements automobiles,Fabrication d'autres équipements automobiles,Fabrication d'équipements automobiles,Industrie automobile,Industrie manufacturière,ZA DE COURTABOEUF-TECHNOPO,3,,AV,DU CANADA,91940,LES ULIS,,91692,0,,,0,,,,0,,,0,,
ASSOCIATION CREATION SERVICES PARIS,ACSP,,,,,ACSP,,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,47,T,RUE,DE LOURMEL,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
FONDAT ABBE PIERRE LOGEMENT DEFAVORISES,,,,,,,,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,3 A 5,3,,RUE,DE ROMAINVILLE,75019,PARIS 19,,75119,0,,,0,,,,0,,,0,,
GROUPE GLI,,,,,,,,,,50 à 99 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Gestion d'installations informatiques,Gestion d'installations informatiques,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,,70,,RUE,DE SAINT DENIS,93400,SAINT-OUEN-SUR-SEINE,,93070,93582,ST OUEN CEDEX,,0,,,,0,,,0,,
SAINT LEONARD MATERIAUX,SLM,,,,,SLM,,,,50 à 99 salariés,Fabrication d'éléments en béton pour la construction,Fabrication d'éléments en béton pour la construction,Fabrication d'éléments en béton pour la construction,Fabrication d'autres produits minéraux non métalliques,Industrie manufacturière,True,Fabrication d'éléments en béton pour la construction,Fabrication d'éléments en béton pour la construction,"Fabrication d'ouvrages en béton, en ciment ou en plâtre",Fabrication d'autres produits minéraux non métalliques,Industrie manufacturière,,0,,HAM,ST LEONARD,77160,POIGNY,,77368,0,,,0,,,,0,,,0,,
ENTREPRISE VITTE,,,,,,,,,,50 à 99 salariés,Travaux de maçonnerie générale et gros œuvre de bâtiment,Travaux de maçonnerie générale et gros œuvre de bâtiment,Autres travaux de construction spécialisés n.c.a.,Travaux de construction spécialisés,Construction,False,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",HAMEAU DE ST LEONARD,3,,CHS,DE LA COMTESSE,77160,PROVINS,,77379,0,,,0,,,,0,,,0,,
PROVINS DISTRIBUTION PRODIS,,INTERMARCHE,,,,,,,,50 à 99 salariés,Hypermarchés,Hypermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Hypermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,Commerce de détail en magasin non spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,15,,AV,MAL DE LATTRE DE TASSIGNY,77160,PROVINS,,77379,0,,,0,,,,0,,,0,,
CLINIQUE SAINT BRICE,,,,,,,,,,50 à 99 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,LIEU-DIT  GARE LA,0,,RTE,DE PROVINS,77160,SAINT-BRICE,,77403,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,72,,BD,VICTOR BORDIER,95370,MONTIGNY-LES-CORMEILLES,,95424,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Activités de conditionnement,Activités de conditionnement,Activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,ZAC DU MANDINET,0,,ALL,DES PALOMBES,77185,LOGNES,,77258,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,0,,RTE,DES QUARANTE SOUS,78630,ORGEVAL,,78466,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,ESPACE CHANTERAINES 112 AV GEN DE GAUL,77,,AV,VIEUX CHEMIN ST DENIS,92230,GENNEVILLIERS,,92036,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,0,,,LE MOULIN A CAILLOUX,94320,THIAIS,,94073,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,ZAC CTRE URBAIN RAL PORTES DE VILLIERS,1,B,BD,JEAN MONNET,94350,VILLIERS-SUR-MARNE,,94079,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Activités de conditionnement,Activités de conditionnement,Activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,LE CLOS DU CHENE,0,,AV,DE LA FERME BRIARDE,77144,MONTEVRAIN,,77307,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,97,,AV,DU MARECHAL FOCH,94000,CRETEIL,,94028,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,CITE DU MEUBLE ET DE LA MAISON,0,,,LA PLAINE DU MOULIN A VENT,77240,CESSON,,77067,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,11 ET,13,,AV,DE LA CROIX BLANCHE,91700,SAINTE-GENEVIEVE-DES-BOIS,,91549,0,,,17,,RUE,DES PETITS CHAMPS,91700,SAINTE-GENEVIEVE-DES-BOIS,,91549,,
BOULANGER,,,,,,,,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,PARC D ACTIVITES COMMERCIALES,0,,RTE,NATIONALE 10,78310,COIGNIERES,,78168,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,ROND POINT DE LA PREFECTURE,0,,AV,LA DIVISION LECLERC,95200,SARCELLES,,95585,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,CTRE COM,0,,CHE,DES QUATRE CHENES,77340,PONTAULT-COMBAULT,,77373,0,,,0,,,,0,,,0,,
BOULANGER,,,,,BOULANGER,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,30,,BD,DES CAPUCINES,75009,PARIS 9,,75109,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,ANGLE DE LA RUE ST CHARLES ET DE,0,,AV,EMILE ZOLA,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
BOULANGER,,,,,BOULANGER,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,179,,BD,MACDONALD,75019,PARIS 19,,75119,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,CCIAL ART DE VIVRE,1,,RUE,DU BAS NOYER,95610,ERAGNY,,95218,0,,,0,,,,0,,,0,,
BOULANGER,,,,,,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,CCIAL DOMUS,16,,RUE,DE LISBONNE,93110,ROSNY-SOUS-BOIS,,93064,0,,,0,,,,0,,,0,,
BOULANGER,,,,,BOULANGER,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,CCIAL REGIONAL VELIZY 2,2,,AV,DE L EUROPE,78140,VELIZY-VILLACOUBLAY,,78640,0,,,0,,,,0,,,0,,
BOULANGER,,,,,BOULANGER,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,CCIAL ITALIE 2,30,,AV,D'ITALIE,75013,PARIS 13,,75113,0,,,0,,,,0,,,0,,
BOULANGER,,,,,BOULANGER,,BOULANGER LE COMPTOIR,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,BHV MARAIS 40 RUE DE RIVOLI,7,,RUE,DES ARCHIVES,75004,PARIS 4,,75104,0,,,0,,,,0,,,0,,
BOULANGER,,,,,BOULANGER,,BOULANGER,,,50 à 99 salariés,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,Commerce de détail d'appareils électroménagers en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration,"Commerce de gros de bois, de matériaux de construction et d'appareils sanitaires",Autres commerces de gros spécialisés,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,6-8   -   92-94 AVENUE  PAUL DOUMER,6,,RUE,DE LA POMPE,75116,PARIS 16,,75116,0,,,0,,,,0,,,0,,
RESIDENCE ANDRESY,,,,,LA FORET DE L'HAUTIL,,,,,50 à 99 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,34,,RUE,DE L HAUTIL,78570,ANDRESY,,78015,0,,,0,,,,0,,,0,,
CESA,,,,,,,,,,50 à 99 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,True,Travaux d'installation électrique dans tous locaux,Installation électrique,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,,37,,RUE,DE VAUGIRARD,92190,MEUDON,,92048,0,,,0,,,,0,,,0,,
CESA,,,,,,,,,,50 à 99 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,False,Travaux d'installation électrique dans tous locaux,Installation électrique,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,,24,,RUE,VLADIMIR JANKELEVITCH,77184,EMERAINVILLE,,77169,0,,,0,,,,0,,,0,,
SAFILO-FRANCE SARL,,,,,,,,,,50 à 99 salariés,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros d'appareils électroménagers,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros d'appareils électroménagers,Commerce de gros de biens domestiques,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,24,,RUE,JACQUES IBERT,92300,LEVALLOIS-PERRET,,92044,0,,,0,,,,0,,,0,,
