denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
ASSOCIATION POUR L ACCES A LA MEDECINE ET A LA SANTE,AMS,,,,,AMS,,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,CENTRE DE SANTE POLYVALENT,63,,BD,JEAN JAURES,92110,CLICHY,,92024,0,,,0,,,,0,,,0,,
SAS EHPAD ORNANO,,,,,,,,,,50 à 99 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,Oct-14,10,,RUE,BAUDELIQUE,75018,PARIS 18,,75118,0,,,0,,,,0,,,0,,
MAGNAMEAUX,,,,,,,INTERMARCHE,,,50 à 99 salariés,Supermarchés,Supermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Supermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,Commerce de détail en magasin non spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,LA CHAPELLE DE LA COSTE C CIAL,0,,RUE,VINCENT VAN GOGH,78114,MAGNY-LES-HAMEAUX,,78356,0,,,0,,,,0,,,0,,
FERMATIC SAS,,,,,,,,,,50 à 99 salariés,Autres travaux d'installation n.c.a.,Autres travaux d'installation n.c.a.,Autres travaux d'installation,Travaux de construction spécialisés,Construction,True,Autres travaux d'installation n.c.a.,Autres travaux d'installation,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,RN 190,0,,RTE,DE MANTES,78440,GUITRANCOURT,,78296,0,,,0,,,,0,,,0,,
LA PILE (ASSOCIATION POUR UNE PRESSE LIBRE ET ECOLOGIQUE),,,,,,,,,,50 à 99 salariés,Édition de journaux,Édition de journaux,Édition de journaux,Édition,Information et communication,True,Édition de journaux,Édition de journaux,Édition de livres et périodiques et autres activités d'édition,Édition,Information et communication,,24,,RUE,DE L EST,75020,PARIS 20,,75120,0,,,0,,,,0,,,0,,
TERGI,,,,,,,,,,50 à 99 salariés,Travaux de terrassement courants et travaux préparatoires,Travaux de terrassement courants et travaux préparatoires,Travaux de préparation des sites,Travaux de construction spécialisés,Construction,True,Travaux de terrassement courants et travaux préparatoires,Travaux de préparation des sites,Démolition et préparation des sites,Travaux de construction spécialisés,Construction,,33,,RUE,DE LAMIRAULT,77090,COLLEGIEN,,77121,0,,,0,,,,0,,,0,,
BABYCHOU SERVICES MONTROUGE,,,,,BABYCHOU SERVICES MONTROUGE,,BABYCHOU SERVICES MONTROUGE,,,50 à 99 salariés,Accueil de jeunes enfants,Accueil de jeunes enfants,Action sociale sans hébergement pour jeunes enfants,Action sociale sans hébergement,Santé humaine et action sociale,True,Accueil de jeunes enfants,Action sociale sans hébergement pour jeunes enfants,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,151,,AV,DE LA REPUBLIQUE,92120,MONTROUGE,,92049,0,,,0,,,,0,,,0,,
EPINAY EXPLOITATION,,,,,,,,,,50 à 99 salariés,Hypermarchés,Hypermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Location de terrains et d'autres biens immobiliers,Location et exploitation de biens immobiliers propres ou loués,Location et exploitation de biens immobiliers propres ou loués,Activités immobilières,Activités immobilières,159-165,159,,RTE,DE SAINT LEU,93800,EPINAY-SUR-SEINE,,93031,0,,,0,,,,0,,,0,,
ISF ENERGIES,,,,,ISF ENERGIES,,,,,50 à 99 salariés,Travaux d'installation d'équipements thermiques et de climatisation,Travaux d'installation d'équipements thermiques et de climatisation,Travaux de plomberie et installation de chauffage et de conditionnement d'air,Travaux de construction spécialisés,Construction,True,Travaux d'installation d'équipements thermiques et de climatisation,Travaux de plomberie et installation de chauffage et de conditionnement d'air,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,,6,,BD,GEORGES MARIE GUYNEMER,78210,SAINT CYR L'ECOLE,,78545,0,,,0,,,,0,,,0,,
L-COMMERCE,,,,,,,,,,50 à 99 salariés,Vente à distance sur catalogue général,Vente à distance sur catalogue général,Vente à distance,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Vente à distance sur catalogue général,Vente à distance,"Commerce de détail hors magasin, éventaires ou marchés","Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,26,,QUAI,MARCEL BOYER,94200,IVRY-SUR-SEINE,,94041,0,,,0,,,,0,,,0,,
