denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
DISTRICOM SALES AND MARKETING,,,,,DISTRICOM SALES AND MARKETING,,DISTRICOM SALES AND MARKETING,,,1000 à 999 salariés,Activités des agences de publicité,Activités des agences de publicité,Activités des agences de publicité,Publicité et études de marché,"Activités spécialisées, scientifiques et techniques",True,Activités des agences de publicité,Activités des agences de publicité,Publicité,Publicité et études de marché,"Activités spécialisées, scientifiques et techniques",,1,,RUE,LOUIS ARMAND,92600,ASNIERES-SUR-SEINE,,92004,0,,,0,,,,0,,,0,,
MSF MEDECINS SANS FRONTIERES,,,,,,,,,,1000 à 999 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,34,,AV,JEAN JAURES,75019,PARIS 19,,75119,0,,,0,,,,0,,,0,,
SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,SII,,,,,SII,,,,1000 à 999 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,False,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,80-104,80,,AV,DU PRESIDENT KENNEDY,75016,PARIS 16,,75116,0,,,0,,,,0,,,0,,
GE MEDICAL SYSTEMS,,GE HEALTHCARE,,,,,,,,1000 à 999 salariés,"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques","Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques","Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques","Fabrication de produits informatiques, électroniques et optiques",Industrie manufacturière,True,"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques","Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques","Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques","Fabrication de produits informatiques, électroniques et optiques",Industrie manufacturière,,283,,RUE,DE LA MINIERE,78530,BUC,BP 34,78117,0,,,0,,,,0,,,0,,
DXC TECHNOLOGY FRANCE,,,,,,,DXC,,,1000 à 999 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,TOUR CARPE DIEM CS40075,31,,PL,DES COROLLES,92400,COURBEVOIE,,92026,0,,,0,,,,0,,,0,,
G.I.E. D'ABEILLE ASSURANCES,,,,,,,,,,1000 à 999 salariés,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,True,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,,80,,AV,DE L EUROPE,92270,BOIS-COLOMBES,,92009,0,,,0,,,,0,,,0,,
PRISMA MEDIA,,,,,,,,,,1000 à 999 salariés,Édition de revues et périodiques,Édition de revues et périodiques,Édition de revues et périodiques,Édition,Information et communication,True,Édition de revues et périodiques,Édition de revues et périodiques,Édition de livres et périodiques et autres activités d'édition,Édition,Information et communication,,13,,RUE,HENRI BARBUSSE,92230,GENNEVILLIERS,,92036,0,,,0,,,,0,,,0,,
THALES LAS FRANCE SAS,,,,,,,,,,1000 à 999 salariés,Fabrication d'équipements d'aide à la navigation,Fabrication d'équipements d'aide à la navigation,"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation","Fabrication de produits informatiques, électroniques et optiques",Industrie manufacturière,False,Fabrication d'équipements d'aide à la navigation,"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation","Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation ; horlogerie","Fabrication de produits informatiques, électroniques et optiques",Industrie manufacturière,,0,,,VOIE PIERRE GILLES DE GENNES,91470,LIMOURS,,91338,0,,,0,,,,0,,,0,,
THALES LAS FRANCE SAS,,,,,,,,,,1000 à 999 salariés,Fabrication d'équipements d'aide à la navigation,Fabrication d'équipements d'aide à la navigation,"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation","Fabrication de produits informatiques, électroniques et optiques",Industrie manufacturière,False,Fabrication d'équipements d'aide à la navigation,"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation","Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation ; horlogerie","Fabrication de produits informatiques, électroniques et optiques",Industrie manufacturière,,3,,AV,CHARLES LINDBERGH,94150,RUNGIS,,94065,0,,,0,,,,0,,,0,,
BPIFRANCE,,,,,BPIFRANCE,,BPIFRANCE,,,1000 à 999 salariés,Autre distribution de crédit,Autre distribution de crédit,Autre distribution de crédit,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,True,Autre distribution de crédit,Autre distribution de crédit,"Autres activités des services financiers, hors assurance et caisses de retraite","Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,27-31,27,,AV,DU GENERAL LECLERC,94700,MAISONS-ALFORT,,94046,0,,,0,,,,0,,,0,,
