NomEtablissementPrive,AdresseEtablissementPrive
Ecole Primaire Privee Sainte-Marie,6 rue de l'Abbe Duval 78130 Les Mureaux
Method Acting Center,93 avenue d'Italie 75013 Paris 13
Ecole Privee Jean Paul II,24 rue de Marnes 92380 Garches
"Groupe Scolaire Ste-Genevieve-St-Pierre-St-Paul, College",6 rue J.-P.-Timbaud 92400 Courbevoie
ESEC - Ecole Superieure d'Etudes Cinematographiques,21 rue de Citeaux 75012 Paris 12
Ecole Saint-Louis de Gonzague,15 rue Louis David 75116 Paris 16
Ecole Privee Saint-Jean-de-Passy,72 rue Raynouard 75016 Paris 16
Lycee Prive Massillon,2 bis quai des Celestins 75004 Paris 04
INSEEC Business School,27 avenue Claude Vellefaux 75010 Paris 10
Ecole English Tree,2 rue de Chartres 91400 Orsay
Lycee Henri Matisse,88 B rue Jules Guesde 93100 Montreuil
"Stanislas, Lycee",22 rue N-D-des-Champs 75279 Paris 06
ESCE Ecole Superieure du Commerce Exterieur,10 rue Sextius Michel 75015 Paris 15
ESSEC Executive Education,CNIT 2 place de la Defense BP 230 92053 Paris-la-Defense
Ecole Saint Benoit,12 rue Alexandre Lange 78000 Versailles
Faculte de Philosophie de l'Institut Catholique de Paris,21 rue d'Assas 75006 Paris 06
Cours Prive Dagostinoz,3 bis rue Pierre-Baudry 92140 Clamart
Ecole Primaire Privee Sainte-Croix,8 rue Pierre Ypres 77160 Provins
Ecole Primaire Privee Institut Paul Ricoeur,85 rue de Paris 95380 Louvres
International School of Paris,6 rue Beethoven 75016 Paris 16
"Groupe Scolaire Maimonide-Rambam, Ecole",11 rue des Abondances 92100 Boulogne-Billancourt
Institut Superieur Maria Montessori,1/7 rue Jean Monnet 94130 Nogent-sur-Marne
Ecole maternelle Montessori 21 Sevres,6 rue Carle Vernet 92310 Sevres
Ecole Privee Francoise Cabrini,20 rue du Docteur Sureau 93160 Noisy-le-Grand
Lycee prive Sainte-Marie de Neuilly,24 boulevard Victor Hugo 92200 Neuilly-sur-Seine
"Talis Business School, ecole de commerce et management",24 rue de l'Amiral Hamelin 75116 Paris 16
Ecole Les Petites Souris de Montessori,44 rue de la Fontaine d'Amour 95270 Viarmes
Atelier Albers,9 rue des Arenes 75005 Paris 05
"Ecole de Paris des Metiers de la Table, du Tourisme et de l'Hotellerie",17 rue Jacques Ibert 75017 Paris 17
Institut Universitaire Saint-Pie-X,21 rue du Cherche-Midi 75006 Paris 06
Institution Nazareth - Enseignement prive catholique,Place du 14 Juillet 77950 Voisenon
ESI Business School - Ecole de commerce du developpement durable,87 rue du Chateau 92100 Boulogne-Billancourt
College Beth Aaron,19 rue du Domremy 75013 Paris 13
EDC Paris Business School,"70 Galerie des Damiers, La Defense 1 92400 Courbevoie"
"Groupe Scolaire Sophie Barat, Lycee Technique",50 rue des Grillons 92290 Chatenay-Malabry
Ecole Privee - Institution Sainte-Genevieve,48 avenue de la Marne 92600 Asnieres-sur-Seine
College Latin,12 rue du Colonel Moll 75017 Paris 17
Ecole de maquillage Avant scene,25 rue Saint Sebastien 75011 Paris 11
Ecole Privee Sainte-Genevieve du Marais,9 rue du Foin 75003 Paris 03
UTEC Meaux,IUT de Meaux 17 rue Jablinot 77100 Meaux
Delta Math,3 rue de Monceau 75008 Paris 08
Ecole Sainte-Therese,Campus Ouest 6 avenue de la Doutre 77330 Ozoir-la-Ferriere
College Prive Notre-Dame de Lourdes,16 rue Taclet 75020 Paris 20
Ensemble Scolaire Saint-Benoist de l'Europe - Lycee Professionnel,82 avenue Gambetta 93170 Bagnolet
EXCOSUP Etablissement superieur prive de preparation aux concours,12 rue Hautefeuille 75006 Paris 06
CFA Stephenson,48 rue Stephenson 75018 Paris 18
ARTEC,71 boulevard de Brandebourg 94200 Ivry-sur-Seine
Ecole Les Petits Ecoliers,10 rue du Moulin de Pierre 92130 Issy-les-Moulineaux
Institut Pratique de Journalisme,24 rue Saint-Georges 75009 Paris 09
College Protectorat Saint Joseph,36 rue Jacques Duclos 93600 Aulnay-sous-Bois
Ecole Privee Saint-Alexandre,23 boulevard Jean-Jaures 92100 Boulogne-Billancourt
Ensemble Scolaire Fenelon,1 rue de Montauban 93410 Vaujours
AFTRAL,11 place d'Aquitaine 94150 Rungis
Cours Legendre,78 rue Saint-Lazare 75009 Paris 09
Lycee La Jonchere,18 Avenue de la Jonchere 78170 La Celle-Saint-Cloud
College Prive Reussite,3 impasse Charles Cousin 93300 Aubervilliers
Alternance-Academy,12 impasse Boutron 75010 Paris 10
College Prive Notre-Dame,39-41 rue Saint-Lazare 95290 L'Isle-Adam
College par Correspondance,78 rue Saint-Lazare 75009 Paris 09
Ecole Privee Lamazou,80 rue Boileau 75016 Paris 16
College de La Source,7 rue Macaigne Fortier 95650 Boissy-l'Aillerie
Lycee Chne Ohr,17 rue du Clos Besnard 93300 Aubervilliers
Ecole Privee Catholique Gerson,31 rue de la Pompe 75116 Paris 16
Cours FIDES,87 avenue de la Bourdonnais 75007 Paris 07
Faculte Libre de Theologie Protestante,83 boulevard Arago 75014 Paris 14
Ecole Le Cours du Soleil,53 rue Jean de la Fontaine 75016 Paris 16
Centre Formation Europeen de la Beaute,11 bis rue de Maubeuge 75009 Paris 09
"Institution Sainte Therese, College",5 rue de l'Ancienne-Eglise 91230 Montgeron
Ecole a L'Ere Libre,19 rue de l'Alun 91150 Etampes
Ecole Notre-Dame de Joie,19 rue Louis-Blanc 92190 Meudon
College Prive Catholique Sainte-Celine,29 rue Pierre Marx 77262 La Ferte-sous-Jouarre
College Prive Ensemble Scolaire Les Chataigniers,11 bis avenue Jean Jaures 78000 Versailles
Ecole Privee Le Sacre-Coeur,7 rue Jean Cottin 75018 Paris 18
Le Jardin d'Eglantine,165 boulevard Brune 75014 Paris 14
"Notre Dame de Sion, College Prive",61 rue Notre-Dame des Champs 75006 Paris 06
Cours Prive Carnot,62 Bis rue Pierre Demours 75017 Paris 17
Faculte de Sciences Sociales et Economiques de l'Institut Catholique de Paris,21 rue d'Assas 75006 Paris 06
Institution Saint-Dominique,23 Quater boulevard d'Argenson 92200 Neuilly-sur-Seine
College Prive ESED - Ecole Secondaire d'Etudes Dirigees,88 rue de la Division Leclerc 91160 Saulx-les-Chartreux
Ecole Privee Saint-Joseph,8 rue Emile Verhaeren 92210 Saint-Cloud
Ecole Primaire Privee Sainte Jeanne-Elisabeth,49 avenue Duquesne 75007 Paris 07
"Ensemble Scolaire Sainte-Ursule - Louise-de-Bettignies, College Prive",102 boulevard Pereire 75017 Paris 17
Lycee International Montessori Ecole Athena,29 rue de Noisy 78870 Bailly
Institut de Conciergerie Internationale,13 rue Fernand Leger 75020 Paris 20
Ecole de Travail ORT,4 bis rue des Rosiers 75004 Paris 04
APEP SUP,7 rue de la Vega 75012 Paris 12
Ecole Privee Sainte-Jeanne d'Arc,16 rue Henri Barbusse 93370 Montfermeil
Ecole Privee Mixte Saint-Andre,15 avenue Mahieu 94100 Saint-Maur-des-Fosses
College Sainte-Therese,5 rue de Paris 95440 Ecouen
EFJ Ecole Francaise de Journalisme,114 rue Marius Aufan 92300 Levallois-Perret
ISIFA Cfa,3 rue Vaudetard 92130 Issy-les-Moulineaux
ENOES Expertise Comptable et Audit,62 rue de Miromesnil 75008 Paris 08
Lycee Saint-Vincent-de-Paul,44 avenue de Saint-Cloud 78000 Versailles
ESSEC Business School - ESSEC Grande Ecole,3 avenue Bernard Hirsch CS 50105 95021 Cergy-Pontoise
"Sup’Expertise Paris - L'Ecole superieure des metiers de l'expertise comptable, de",58 rue du Professeur Gosset 75018 Paris 18
Lycee Prive Catholique Sainte Louise,29 rue des Envierges 75020 Paris 20
Lycee Prive Jeanne-d'Arc - Saint-Aspais,18 boulevard Maginot 77300 Fontainebleau
Studio Magenia Academie Europeenne de Theatre Corporel,8 rue Simon le Franc 75004 Paris 04
CFP Prive,13 rue du Mont-Dore 75017 Paris 17
Nouqa Ecole Maternelle Bilingue,Bat B 69 rue de Paris 91400 Orsay
Ecole Privee La Salle Sainte Marie,6 avenue Gambetta 77140 Nemours
Pigier Performance Paris Centre,"Parc du Pont de Flandre 11 rue de Cambrai, Bat 32 75019 Paris 19"
"Groupe Scolaire Prive Catholique Saint-Joseph La Salle, College",12 avenue du 8 Mai 1945 93500 Pantin
"Ecole Maternelle et Elementaire, Protectorat Saint-Joseph",36 rue Jacques Duclos 93600 Aulnay-sous-Bois
Lycee Saint-Augustin,39 rue Grande Fontaine 78100 Saint-Germain-en-Laye
Theologicum (Faculte de Theologie et de Sciences Religieuses) de l'Institut Catholique,21 rue d'Assas 75006 Paris 06
Ecole Dynamique,36 rue des Artistes 75014 Paris 14
IESA Institut d'Etudes Superieures des Arts,1 cite Griset 75011 Paris 11
Jaelys,62 rue de Maubeuge 75009 Paris 09
Institut Superieur Juventhera,254 rue du Faubourg Saint Martin 75010 Paris 10
"Institution Sainte-Marie d'Antony, Ecole",21 bis rue Auguste-Mounie BP 180 92186 Antony
Ecole Cours Sainte-Anne,76 rue Saint-Lazare 75009 Paris 09
The Bilingual Montessori School of Paris - Campus d'Orsay,65 quai d'Orsay 75007 Paris 07
Lycee Prive Sainte-Croix,1 rue des Jacobins 77160 Provins
ESUP Paris,45 rue Linois 75015 Paris 15
Institut Orthodoxe Francais de Paris Saint-Denys,96 boulevard Auguste-Blanqui 75013 Paris 13
College Prive Saint-Exupery,11 rue Michael Faraday 78180 Montigny-le-Bretonneux
Lycee Ozar Hatorah Garcons,2 voie Felix Eboue 94000 Creteil
Ecoles de Conde - Paris Patrimoine,58-60 boulevard Garibaldi 75015 Paris 15
ILEPS Ecole Superieure des Metiers du Sport,13 boulevard de l'Hautil 95092 Cergy-Pontoise
Ecole Tarkmantchatz Ecole bilingue francais et armenien,17-19 sentier des Epinettes 92130 Issy-les-Moulineaux
SUPELEC,Plateau de Moulon 3 rue Joliot-Curie 91192 Gif-sur-Yvette
Acadomia,83 boulevard Exelmans 75016 Paris 16
UFA (Unite de Formation par l’Apprentissage) Jeanne d'Arc,2 bis boulevard Toussaint-Lucas 95130 Franconville
"British School of Paris, Lycee",38 quai de l'Ecluse 78290 Croissy-sur-Seine
Lycee prive Yabne,29 avenue Leon Bollee 75013 Paris 13
Pigier,La Cartonnerie 824 avenue du Lys 77190 Dammarie-les-Lys
Ecole Privee Sainte-Anne,1 rue Leon-Renard 91160 Longjumeau
Fondation Leonie-Chaptal,19 rue Jean-Lurcat Le Haut-du-Roy 95200 Sarcelles
College Nouvelle La Source,11 rue Renon 92190 Meudon
Lycee Technique ORT Daniel Meyer,43 rue Rapail 93100 Montreuil
Atelier Vert Celadon,17 rue Montera 75012 Paris 12
ETS Ecole Europeenne,63 rue Ampere 75017 Paris 17
College Prive Fidelis,19 rue Saint-Denis 93100 Montreuil
Ecole Privee Saint-Martin,92 rue du President Roosevelt 78500 Sartrouville
INTEGRALE institut d'Enseignement Superieur Prive,64 bis rue du Rocher 75008 Paris 08
Lycee Prive Louise-de-Marillac,32 rue Geoffroy-Saint-Hilaire 75005 Paris 05
Ecole Privee Sainte-Therese,5 rue de Paris 95440 Ecouen
CFA de la Pharmacie Paris Ile-de-France,59 rue Planchat 75020 Paris 20
Ecole Privee Catholique l'Esperance,35 rue Anatole-France 93600 Aulnay-sous-Bois
Cours Socrate,64 bis rue Taitbout 75009 Paris 09
College Chne Ohr,150 rue Andre Karman 93300 Aubervilliers
Lycee Prive Le Bon Sauveur,6 rue Henri Cloppet 78110 Le Vesinet
Lycee Saint-Dominique,20 avenue Charles-de-Gaulle 78230 Le Pecq
"Lycee Prive d'Enseignement General et Technologique, La Salle - Saint Rosaire",51-53 rue Pierre-Brossolette 95200 Sarcelles
IFM Institut Francais de la Mode,36 Quai d'Austerlitz 75013 Paris 13
Lycee La Salle - Passy Buzenval,50 avenue Otis Mygatt 92500 Rueil-Malmaison
IRTS Paris Ile-de-France,145 avenue Parmentier 75010 Paris 10
"Groupe Scolaire Saint-Pierre Saint-Jean, College",121 avenue Achille Peretti 92200 Neuilly-sur-Seine
College prive Sainte-Marie de Neuilly,24 boulevard Victor Hugo 92200 Neuilly-sur-Seine
Ecole CERENE,71 rue de Paris 92110 Clichy
Institut Technique du Maquillage ITM,9 rue des Arenes 75005 Paris 05
"Association Scolaire Mariste Bury-Rosaire, College Prive Notre-Dame-de-Bury",1 avenue Georges-Pompidou 95580 Margency
CIFCA - Centre Interprofessionnel de Formation des Commerces de l'Alimentation,14 rue des Fillettes 75018 Paris 18
ISE Institut Superieur de l'Environnement,9 rue des Etats Generaux 78000 Versailles
Academie Europeenne de Coiffure Daniel Montesantos,133 avenue Ledru Rollin 75011 Paris 11
ESAT Ecole Superieure Arts et Techniques Hourde,10 boulevard des Batignolles 75017 Paris 17
Ecole Privee Mixte Notre-Dame-des-Missions-Saint-Pierre,4 rue du President-Kennedy 94220 Charenton-le-Pont
Lycee Prive Saint-Joseph,110 rue de Malcouture 95100 Argenteuil
ISEFAC Paris,27 rue Lucien Sampaix 75010 Paris 10
IPESUP,18 rue du Cloitre-Notre-Dame 75004 Paris 04
"Ensemble Scolaire Jean-Baptiste de La Salle Notre-Dame de la Compassion, Lycee Prive",6-8 place de la Resistance 93207 Saint-Denis
College Cours Protestant d'Ile de France,53 avenue Edouard Vaillant 93000 Bobigny
Ecole Georges Gusdorf,98 rue Didot 75014 Paris 14
Faculte des Lettres de l'Institut Catholique de Paris,21 rue d'Assas 75006 Paris 06
Lycee Polyvalent Prive Saint-Martin,10 rue de la Pie Voleuse 91120 Palaiseau
Lycee Education et Savoir,44 rue Marcel Grosmenil 94800 Villejuif
Ecole Primaire Privee Saint-Albert,49 rue Jean-Jaures 77440 Lizy-sur-Ourcq
Etablissement Tournesol,5 rue Yeo Thomas 75013 Paris 13
College Innovant Living School,93 bis rue Manin 75019 Paris 19
Institution Notre-Dame-de-France,5 avenue Arblade 92240 Malakoff
College Prive Bienheureux Charles de Foucauld,7 rue Edgar Quinet 92800 Puteaux
Schola Nova,8 bis rue de Tunis 75011 Paris 11
Formamod CFP des Arts de la Mode,15/27 rue Moussorgski 75018 Paris 18
Lycee Jeannine Manuel,70 rue du Theatre 75015 Paris 15
Ecole Notre-Dame Saint-Edmond,11 bis rue du General Gouraud 92190 Meudon
GOBELINS Ecole de l'Image Site de Paris,73 boulevard Saint-Marcel 75013 Paris 13
Ecole Privee Saint-Pie X,2 rue Claude Debussy 93290 Tremblay-en-France
College de garcons Prive Saint-Joseph,8 rue Emile Verhaeren 92210 Saint-Cloud
"Ensemble scolaire La Salle-St Rosaire, Annexe College Oscar Romero",5 rue Gambetta 95140 Garges-les-Gonesse
College Prive La Salle - Saint Rosaire,51-53 rue Pierre-Brossolette 95200 Sarcelles
Cours FIDES,87avenue de la Bourdonnais 75007 Paris 07
Ecole Privee Notre Dame,56 rue Raspail 94700 Maisons-Alfort
Ecole Montessori 21 de Chatenay-Malabry,42 chemin de la Justice 92290 Chatenay-Malabry
Ecole Privee Primaire Notre-Dame-des-Lys,1 rue du Marechal Joffre 77660 Saint-Jean-les-Deux-Jumeaux
Lycee Prive La Rochefoucauld,90 bis rue Saint-Dominique 75007 Paris 07
College Merkaz Hatorah Filles,65-67 boulevard du Midi 93340 Le Raincy
Lycee Polyvalent Prive Saint Martin,Rue du 8 Mai 1945 91120 Palaiseau
ESA Ecole Superieure d'Assurances,13 rue Fernand Leger 75020 Paris 20
Ecole Nouvelle St-Thomas-d'Aquin,7 rue Perronet 75007 Paris 07
IPSA Institut Polytechnique des Sciences Avancees,63 boulevard de Brandebourg 94200 Ivry-sur-Seine
Ecole de Service Social de la CRAMIF,17-19 place de l'Argonne 75019 Paris 19
Ecole Maternelle Bilingue Les Merveilles - Montessori,17 rue Anatole France 93110 Rosny-sous-Bois
Ecole Maternelle Bilingue,48 rue Darius Milhaud 75019 Paris 19
Centre Berlitz,16 rue Traversiere 95035 Cergy-Pontoise
Ecole Institut Prive de l'Alma,12 avenue Bosquet 75007 Paris 07
Cours Hattemer,43 rue Decamps 75116 Paris 16
"Atelier Chardon-Savard, Stylisme de mode",15 rue Gambey 75011 Paris 11
Association Nationale pour la Formation Professionnelle de la Pharmacie (ANFPP),10 rue Tesson 75010 Paris 10
Ecole Privee de la Croix,25 rue Mathurin Regnier 75015 Paris 15
Lycee polyvalent Saint-Pierre,70 rue de Montgeron 91800 Brunoy
Ecole Privee Saint-Joseph,154 rue Saint-Maur 75011 Paris 11
ESJ Ecole Superieure de Journalisme,107 rue de Tolbiac 75013 Paris 13
College Prive La Rochefoucauld,90 bis rue Saint-Dominique 75007 Paris 07
Lycee Prive Ifea Emilie du Chatelet,28 rue Petit 92110 Clichy
Sup'Biotech - Institut des Biotechnologies de Paris,66 rue Guy Moquet 94800 Villejuif
Ecole Privee Sainte-Therese,11 rue Kleber 78800 Houilles
Internat du College l'Ermitage,24 avenue Egle 78600 Maisons-Laffitte
EIB The Victor Hugo School,23 rue de Cronstadt 75015 Paris 15
ESP Ecole Superieure de Publicite et marketing,9 rue Leo-Delibes 75116 Paris 16
Ecole Primaire Privee Saint Louis,40 rue Carnot 77300 Fontainebleau
Ecole Privee Sainte-Croix,55 rue Henri Barbusse 93130 Noisy-le-Sec
Lycee par Correspondance,78 rue Saint-Lazare 75009 Paris 09
College Prive Catholique Gasnier-Guy - Sainte-Bathilde,28 rue du Tir 77500 Chelles
Lycee Polyvalent Prive Le Rebours,44 boulevard Auguste Blanqui 75013 Paris 13
College Kingsworth Internationalschool,56 rue de Passy 75116 Paris 16
Ecole CERENE,25 rue Dagorno 75012 Paris 12
College Prive Montalembert,28 boulevard Gambetta 94736 Nogent-sur-Marne
Ecole Montessori Bilingue Maternelle et Primaire,5 rue de Garches 92210 Saint-Cloud
La Fabrique Saint Antoine,171 rue du Faubourg Saint Antoine 75011 Paris 11
"Lycee Professionnel, General et Technologique Prive Carcado-Saisseval",121 boulevard Raspail CS 10622 75006 Paris 06
College Prive Annexe Saint-Didier,26 rue de Draguignan 95400 Arnouville
Pigier,23 rue Colbert St Quentin en Yvelines 78885 Montigny-le-Bretonneux
Icademie,52 rue de l'Arbre Sec 75001 Paris 01
Ecole Camondo,266 boulevard Raspail 75014 Paris 14
L'Ecole par Correspondance,76-78 rue Saint-Lazare 75009 Paris 09
ESSCA Paris,55 quai Alphonse Le Gallo 92100 Boulogne-Billancourt
ISC Paris Business School,22 bd du Fort de Vaux 75017 Paris 17
Ecole Mathurin Cordier,12 boulevard de la Republique 78440 Porcheville
Ecole Privee Notre-Dame de Sion - Sainte-Marie-Sion,93 rue Notre Dame des Champs 75006 Paris 06
Ecole Plurivalente,7 rue du docteur Schweitzer 95600 Eaubonne
Faculte des Metiers de l'Essonne,3 chemin de la Grange Feu Louis 91035 Evry-Courcouronnes
ECV Paris,27 rue Buffon 75005 Paris 05
L'EA - Itedec,27 rue du Chantier d'Herube 78410 Aubergenville
Guidepost Montessori Velizy,3 avenue Morane Saulnier 78140 Velizy-Villacoublay
Integrale - Prepa HEC,12 rue de l'Eglise 92140 Clamart
"SKEMA Business School, campus de Paris-La Defense",Pole universitaire Leonard-de-Vinci Esplanade Mona Lisa 92916 Paris-la-Defense
Lemon Ecole,5 rue Robert Schuman 77330 Ozoir-la-Ferriere
ESCI Ecole Superieure de Commerce International,54 rue de la Maison Rouge Lognes 77437 Marne-la-Vallee
College Prive Le Bon Sauveur,6 rue Henri Cloppet 78110 Le Vesinet
ESME Sudria Paris,40 rue du Docteur Roux 75015 Paris 15
Ecole Leonard de Vinci,3 avenue Paul Langevin 95220 Herblay-sur-Seine
College EIB Monceau,16 rue Margueritte 75017 Paris 17
CFA Proprete Inhni Ile de France,34 boulevard Maxime Gorki 94800 Villejuif
Ecole Privee Sainte-Therese,10 rue de la Chevrette 93800 Epinay-sur-Seine
"Cours Prive Marymount International School, maternelle et elementaire",72 boulevard de la Saussaye 92200 Neuilly-sur-Seine
Media Institute,21 rue Auber 75009 Paris 09
ESAG Penninghen,31 rue du Dragon 75006 Paris 06
"College Prive Blomet, Ecole Normale Catholique",5 rue Blomet 75015 Paris 15
Lycee Prive Clapeyron,64 bis rue Taitbout 75009 Paris 09
Ecole Privee Saint Thomas de Villeneuve,1646 avenue Roger-Salengro 92370 Chaville
College Prive Mixte Notre-Dame-des-Missions-Saint-Pierre,4 rue du President-Kennedy 94220 Charenton-le-Pont
Enseignement International de Coiffure des Yvelines,10 avenue Larcher 78400 Chatou
Lycee Polyvalent l'Assomption,12 avenue de Verdun 93140 Bondy
Ecole Montessori 21,8 rue Jules Gautier 92000 Nanterre
"ESIEA Paris, Ecole Superieure d'Informatique-Electronique-Automatique",74 bis avenue Maurice Thorez 94200 Ivry-sur-Seine
ISEC Institut Europeen de la Coiffure,28 rue de Trevise 75009 Paris 09
Institut des Metiers de la Musique (IMM),3 rue Portefoin 75003 Paris 03
Ecole Privee Mixte Primaire Sainte-Jeanne-d'Arc,24 bis rue Charcot 75013 Paris 13
ISE Institut Superieur de l'Entreprise,Immeuble Le Futura 23 place Wicklow 78180 Montigny-le-Bretonneux
"Ensemble Scolaire Sainte-Therese, Lycee Prive Catholique",Campus Ste Therese Avenue Erasme Rond-Point de l'Europe CS 20294 77330 Ozoir-la-Ferriere
"Ensemble Scolaire Sainte-Therese, College Prive Catholique","Campus Sainte-Therese Avenue Erasme, Rond-Point de l'Europe CS 20294 77330 Ozoir-la-Ferriere"
College Prive Catholique Sainte-Louise,29 rue des Envierges 75020 Paris 20
Douce Maternelle,9 rue Crillon 75004 Paris 04
IDRAC Ecole Superieure de Commerce,7-11 avenue des Chasseurs 75017 Paris 17
Cours Moliere - International School,2 boulevard Soult 75012 Paris 12
"Ecole Groupe Scolaire de L'Alliance, Ecole",35 allee Robert Estienne 93320 Les Pavillons-sous-Bois
Ecole Professionnelle de la Boucherie,37 boulevard Soult 75012 Paris 12
ENOES Ecole Superieure des transports EST,62 rue de Miromesnil 75008 Paris 08
Ecole Arco Iris,31 cours de l'ile Seguin 92100 Boulogne-Billancourt
College Prive Institution Sainte-Marie,17 rue Edgar-Quinet BP 13 93351 Le Bourget
Lycee Technologique Prive Notre-Dame-de-Boulogne,1 avenue Charles-de-Gaulle 92100 Boulogne-Billancourt
Ecole Saint-Mesrop Arabian,1 rue Komitas 94140 Alfortville
EPSI Campus de Paris,70 rue Marius-Aufan 92300 Levallois-Perret
ENOES Ressources Humaines ERH,62 rue Miromesnil 75008 Paris 08
Ecole Privee Oscar Romero Annexe,5 rue Gambetta 95140 Garges-les-Gonesse
"Groupe Scolaire Saint Thomas de Villeneuve, Lycee Prive",1646 avenue Roger-Salengro 92370 Chaville
Lycee General et Technologique Prive sous contrat Le Rebours,44 boulevard Auguste Blanqui 75013 Paris 13
EDUC PREPA,5 rue Las Cases 75007 Paris 07
Ecole Privee des Metiers de la Creation La Ruche,14 rue Lally-Tollendal 75019 Paris 19
College Prive Jeanne-d'Arc,31 rue Alfred Leblanc 91220 Bretigny-sur-Orge
Protectorat Saint-Joseph,36 rue Jacques Duclos 93600 Aulnay-sous-Bois
Aurlom Paris,2 bis rue Saint Sauveur 75002 Paris 02
American BBA INSEEC MBA Institute,63 boulevard Exelmans 75016 Paris 16
Ecole Privee Sainte-Jeanne d'Arc,78 rue de Paris 78550 Houdan
La Petite Ecole Bilingue Montessori,6 rue des Menus 92100 Boulogne-Billancourt
LISAA Pole Architecture d'Interieur et Design d'Environnement,8 square Henri Delormel 75014 Paris 14
Ecole Privee Saint-Honore-d'Eylau,66 avenue Raymond Poincare 75116 Paris 16
Math Soutien,8 boulevard Pasteur 75015 Paris 15
"Ecole Privee Saint Jean, Ecole Normale Catholique",89 rue Olivier de Serres 75015 Paris 15
Ecole Montessori 21 de Paris Jaures,74 quai de la Loire Paris 19
Cours Legendre,6 rue de l’Ecole de Medecine 75006 Paris 06
College de La Trinite,4 route du Carmel 91640 Briis-sous-Forges
Lycee Professionnel Francoise Cabrini,20 rue du Docteur Sureau 93160 Noisy-le-Grand
Concordia School,41 avenue de la Grande Armee 75116 Paris 16
Ecole Sup de V - CCI Paris Ile-de-France,Site du Bel-Air 51 boulevard de la Paix 78100 Saint-Germain-en-Laye
Ecole Montessori's Cool,5 rue Emile Allez 75017 Paris 17
Ecole Privee Saint-Louis,47 rue Montcalm 75018 Paris 18
Ecole Privee Jean XXIII,207 avenue Maurice Thorez 94200 Ivry-sur-Seine
PREPASUP - Etablissement Prive d'Enseignement Superieur et Secondaire,"16 B, rue de l'Estrapade 75005 Paris 05"
Lycee Merkaz Hatorah Garcons,92-94 chemin des Bourdons 93220 Gagny
ISG Institut Superieur de Gestion,8 rue de Lota 75116 Paris 16
EFET Paris,110 rue de Picpus 75012 Paris 12
College du Petit Prince,29 rue des Patis 95520 Osny
Ecole Webstart,60 quai de Jemmapes 75010 Paris 10
Ecole Privee Notre-Dame-de-l'Assomption,11 rue d'Antony 91370 Verrieres-le-Buisson
Lycee Vauban,23 place du Petit Martroy 95300 Pontoise
Groupe Scolaire Educactive,32 avenue de Valenton 94190 Villeneuve-Saint-Georges
Ecole Privee Saint-Sauveur,14 rue Petits Carreaux 75002 Paris 02
Ecole Privee Saint-Ursule Louise de Bettignies,102 boulevard Pereire 75017 Paris 17
Ecole Privee Sainte-Marguerite,39 rue Tarbe des Sablons 95600 Eaubonne
Ecole Privee Soeur Rosalie Louise de Marillac,32 rue Geoffroy Saint Hilaire 75005 Paris 05
Ecole de la Neuville,1 rue du Chateau Tachy 77650 Chalmaison
Ecole Montessori 21,2 allee Robert Debre 92350 Le Plessis-Robinson
"Institution Sainte-Marie d'Antony, College",2 rue de l'Abbaye 92160 Antony
Ecole Talentiel,1 rue des peupliers 95490 Vaureal
Lycee Prive Therese-Chappuis,52 rue Vaneau 75007 Paris 07
College Saint-Germain,103 rue Sadi-Carnot 93700 Drancy
Ecole Primaire Privee Sainte Colombe,8 place des Minimes 77170 Brie-Comte-Robert
Institut de Formation a la Mediation et a la Negociation de l'Institut Catholique,21 rue d'Assas 75006 Paris 06
Paris College of Art,15 rue Fenelon 75010 Paris 10
Ecole Privee Montalembert,28 boulevard Gambetta 94130 Nogent-sur-Marne
Lycee Polyvalent Prive Charles-Peguy,80 avenue Parmentier 75011 Paris 11
Ecole Europeenne d'Intelligence Economique,Hotel de Madame de Pompadour 7 rue des Reservoirs 78000 Versailles
At Montessori Ranelagh,49 rue du Ranelagh 75016 Paris 16
Ecole Privee Charles-Peguy,216 avenue Henri-Barbusse 93000 Bobigny
College Prive Mixte Sainte Jeanne-Elisabeth,8 rue Maurice-de-la-Sizeranne 75007 Paris 07
Ecole Montessori Internationale Rueil-Malmaison,14-16 Rue des Coudreaux 92500 Rueil-Malmaison
Ecole Privee Mixte Sainte-Marie,24 rue Charles-de-Gaulle 95170 Deuil-la-Barre
Ecole Privee Sainte-Jeanne-d'Arc,7 rue de Rueil 92310 Sevres
Lycee prive N'R Hatorah,3 et 5 rue Henri Turot 75019 Paris 19
College Montessori de Gargenville Trilingue,6 rue Gambetta 78440 Gargenville
Cours Hattemer,52 rue de Londres 75008 Paris 08
The Bilingual Montessori School of Paris - Campus de George V,23 avenue George V 75008 Paris 08
College Dynamique,36 rue des Artistes 75014 Paris 14
College Saint-Honore-d'Eylau,66 avenue Raymond-Poincare 75116 Paris 16
Centre National de Formation et d'Animation de l'UFCV,10 quai de la Charente 75019 Paris 19
ISCG,13 rue de Citeaux 75012 Paris 12
ORT France,24 rue Erlanger 75016 Paris 16
ISEG Digital Marketing Communication School,95 avenue de Parmentier 75011 Paris 11
Ecole Montessori 21,74 quai de la Loire 75019 Paris 19
Itecom Artdesign Enseignement Prive Technique Superieur,12 rue Quatre Septembre 75002 Paris 02
Ecole Primaire Privee Saint-Pie-X,19 rue des Ecoles 92210 Saint-Cloud
