NomEtablissementPrive,AdresseEtablissementPrive
College Prive Sainte-Marie,10 boulevard Gambetta 77000 Melun
College Prive Sainte-Elisabeth,112 rue de Lourmel 75015 Paris 15
CFA Cerfal - Campus Montsouris,2 rue Lacaze 75014 Paris 14
Apprentis d'Auteuil - College Poullart des Places,95 rue Paul Vaillant Couturier 94310 Orly
Ecole Privee Saint-Charles,2 rue Genevieve Anthonioz de Gaulle 91200 Athis-Mons
Ecole Privee Saint Thomas de Villeneuve,15 rue des Louviers 78100 Saint-Germain-en-Laye
Lycee Prive Notre Dame - Sainte Famille,106 boulevard Charles-de-Gaulle 95110 Sannois
Ecole Privee Sainte-Therese,27 rue Lachaux 78120 Rambouillet
College Prive du Sacre-Coeur - Institut Saint-Louis Saint-Clement,29 rue Chamberlin 91600 Savigny-sur-Orge
Ecole Privee Catholique du Sacre-Coeur,1 rue d'Estienne-d'Orves 94480 Ablon-sur-Seine
College Prive Saint-Charles Notre-Dame,15 rue Rene-Cassin 92500 Rueil-Malmaison
Lycee Prive Montalembert,238 boulevard Saint-Denis 92400 Courbevoie
Ecole Privee Sainte-Marie,223 rue Pierre-Curie 77190 Dammarie-les-Lys
"Ensemble Scolaire Maurice-Rondeau, Lycee et UFA",1 place du Clos Saint-Georges 77600 Bussy-Saint-Georges
Ecole Privee Saint-Joseph,14 rue du General Leclerc 91420 Morangis
UFA La Salle Igny,10 avenue de la Division Leclerc 91430 Igny
Apprentis d'Auteuil - Internat Educatif et Scolaire du College prive Saint-Jean,Rond-point de la Tour du Mail 95117 Sannois
Ecole Alsacienne - Lycee Prive,109 rue Notre-Dame-des-Champs 75006 Paris 06
Ecole Saint-Vincent-de-Paul,5 ruelle de La Demi-Lune 92260 Fontenay-aux-Roses
Ecole Primaire Privee Saint-Vincent-de-Paul,25 rue Albert Walter 93200 Saint-Denis
Campus Le Buat,21 rue du Buat 78580 Maule
Lycee Professionnel UFA Notre-Dame du Grandchamp,7 rue Joel le Theule 78180 Montigny-le-Bretonneux
Lycee Prive La Salle - Sainte Marie,3 bis chemin de la Messe 77140 Saint-Pierre-les-Nemours
Ecole Privee Sainte-Therese,7 quai Boissy-d'Anglas 78380 Bougival
Lycee Polyvalent La Salle Saint-Nicolas,19 rue Victor Hugo 92130 Issy-les-Moulineaux
ESCEJ - Etablissement Sacre-Coeur - Enfant Jesus,3 avenue de Valvins 77920 Samois-sur-Seine
Faculte de Droit (Universite Catholique de Lille) - Campus Issy-les-Moulineaux,35 rue Gabriel Peri 92130 Issy-les-Moulineaux
Lycee Prive Gregor Mendel,205 rue de Fontenay 94300 Vincennes
Les Cours Europeens,3 rue Servan 75011 Paris 11
Lycee Prive de l’ETSL - Ecole Technique Superieure du Laboratoire,95 rue du Dessous-des-Berges 75013 Paris 13
College Prive L'Ecole Maigret,24 rue de l'ingenieur Robert Keller 75015 Paris 15
Lycee Prive Notre-Dame Les Oiseaux,106 Grande-Rue 78480 Verneuil-sur-Seine
Lycee Polyvalent Prive Albert de Mun,2 rue d'Olivet 75007 Paris 07
Ecole Privee Blanche-de-Castille,19 rue Pasteur 78150 Le Chesnay-Rocquencourt
"Lycee General, Technologique et Professionnel Prive Saint-Thomas de Villeneuve",15 rue des Louviers 78100 Saint-Germain-en-Laye
"Lycee d'Enseignement General, Technologique et Professionnel Jean-Paul II",20 quai Pierre Brunel 78500 Sartrouville
Lycee Prive L'Ecole Maigret,24 rue de l'ingenieur Robert Keller 75015 Paris 15
Cours Montaigne de Paris - College Prive,1 rue Dupin 75006 Paris 06
Apprentis d'Auteuil - Lycee Professionnel et UFA Apprentissage Poullart des Places,3 boulevard de Stalingrad 94320 Thiais
Ecole Privee Saint-Charles Notre-Dame,7 Allee Jean Baptiste Lully 92500 Rueil-Malmaison
Ecole Privee de l'Institut Notre-Dame,65 avenue du General-Leclerc 92340 Bourg-la-Reine
123 mon ecole Boulogne-Billancourt,87 rue du chateau 92100 Boulogne-Billancourt
Ecole Privee Jeanne-d'Arc,44 rue Gabriel Peri 92120 Montrouge
Ecole Notre-Dame - Institut Saint-Paul,12 rue Jube de la Perelle 91410 Dourdan
Ecole Privee Saint Jean Hulst,16 rue Remilly 78000 Versailles
Internat de l'Ensemble Scolaire La Salle Igny,10 avenue de la Division Leclerc 91430 Igny
Ecole Privee Catholique Saint-Louis - Blaise-Pascal,6 rue de Verdun 94600 Choisy-le-Roi
Lycee Technique Prive Saint-Nicolas,92 rue de Vaugirard 75006 Paris 06
ETSL Ecole Technique Superieure du Laboratoire,95 rue du Dessous-des-Berges 75013 Paris 13
Lycee Professionnel Prive Ensemble Scolaire Sainte Catherine Laboure,29 rue Gassendi 75014 Paris 14
Cours Prive Valin,8 avenue Henri-Peuteuil 94430 Chennevieres-sur-Marne
Apprentis d'Auteuil - Ensemble Scolaire Saint-Philippe - College Saint-Philippe,1 rue du Pere Brottier 92190 Meudon
Lycee Technique Prive Saint-Aspais,36 rue Saint-Barthelemy CS 20179 77007 Melun
IFSI Franco-Britannique/Oeuvre du Perpetuel Secours,CNIT 3 2 place de la Defense 92800 Puteaux
Ecole Privee Saint-Joseph du Parchamp,6 rue du Parchamp 92100 Boulogne-Billancourt
College Prive Saint Jean Hulst,26 rue Marechal-de-Lattre-de-Tassigny 78000 Versailles
College Sainte Marie de Stains,7 rue Jean Chardavoine 93240 Stains
Ecole Privee Notre-Dame - Institut Notre-Dame St-Denis St-Clement,4 place de la Republique 91170 Viry-Chatillon
College Prive Saint-Vincent de Paul,18 boulevard Felix Faure 93200 Saint-Denis
L'Horizon,6-10 rue Paul Bert 92240 Malakoff
Apprentis d'Auteuil - Lycee Professionnel Sainte-Therese,40 rue Jean de La Fontaine 75016 Paris 16
Apprentis d'Auteuil - College Saint-Gabriel,21 rue de la Lisette 92220 Bagneux
College Prive Saint-Louis - Ensemble Scolaire Saint-Nicolas,92 rue de Vaugirard 75006 Paris 06
Ecole Primaire Sainte Marie des Batignolles - Ensemble Batignolles Epinettes,77 rue Truffaut 75017 Paris 17
Groupe Scolaire Saint-Vincent-de-Paul Paris 13 - Lycee Professionnel,49 rue Bobillot 75013 Paris 13
Notre-Dame du Grandchamp Lycee General - Lycee Technologique STMG,97 rue Royale 78009 Versailles
Lycee Prive Notre-Dame Providence,9 boulevard Sadi Carnot 95880 Enghien-les-Bains
College Prive Jeanne-d'Arc,11 boulevard Henri-IV 91150 Etampes
Lycee Prive Pascal,33 boulevard Lannes 75116 Paris 16
Internat de l'Institution Catholique d'Education de Fontainebleau (ICEF),"1 rue Saint-Merry, 18 bd Maginot 77300 Fontainebleau"
Ecole Privee - Ensemble Scolaire Saint Michel de Picpus,47 boulevard de Picpus 75012 Paris 12
Cours du Pont de Pierre,11 rue Pierre Villey 75007 Paris 07
Lycee Bossuet,12 rue de la Visitation 77109 Meaux
Lycee Saint-Francois d'Assise,6 place Claudel 78180 Montigny-le-Bretonneux
College Prive Catholique La Salle Notre-Dame de la Gare Sainte Jeanne D'Arc,20 rue de Domremy 75013 Paris 13
IPC - Facultes Libres de Philosophie et de Psychologie,70 avenue Denfert-Rochereau 75014 Paris 14
College Prive Sainte-Genevieve,15-19 rue Louis Blanc 95100 Argenteuil
Internat de l'Institution Saint-Stanislas,2 rue des Patis BP 13 95520 Osny
"Internat College, Lycees La Salle - Saint Nicolas / Residence etudiante",19 rue Victor Hugo 92130 Issy-les-Moulineaux
Ecole Primaire Privee Mixte Saint-Joseph,26 rue Godefroy 92800 Puteaux
Lycee General et Technologique Prive Ensemble Scolaire Sainte Catherine Laboure,29 rue Gassendi 75014 Paris 14
