AdresseEtablissementPrive,NomEtablissementPrive
33 RUE FONDARY 75015 PARIS 15,['E.M.PR Ecole KOENIG 33 rue Fondary']
33 RUE TOULOUSE LAUTREC 91300 MASSY,['Ecole secondaire privee Time 4 School']
33 RUE VANDREZANNE 75013 PARIS 13,['Ecole Internationale de Mode et de Luxe']
33 RUE WURTZ 75013 PARIS 13,"[""Institut Superieur d'Optique de Paris""]"
33 RUE DE CHARTRES 78610 LE PERRAY-EN-YVELINES,['Ecole elementaire privee les pastoureaux']
33 TER RUE GABRIEL JOSSERAND 93500 PANTIN,['Ecole primaire privee Sainte Marthe']
33 TER RUE JEAN JAURES 78540 VERNOUILLET,['Ecole primaire privee Ecole Saint Philippe Neri']
33-35 COTE DE L'ENTRE-DEUX 91280 SAINT-PIERRE-DU-PERRAY,['College Saint Spire Senart']
34  AVENUE DES CHAMPS ELYSEES 75008 PARIS  8,['Ecole secondaire privee Eurecole']
34  AVENUE JOSEPH BODIN 77680 ROISSY-EN-BRIE,['IME - SESSAD Des Grands Champs']
34 AVENUE ANATOLE FRANCE 92700 COLOMBES,['Institut medico educatif H. Hoffer']
34 BIS RUE DU COTENTIN 75015 PARIS 15,['E.P.PR SAINT-JEAN BOSCO 34 bis rue du Cotentin']
34 RUE DE LA MUETTE 78600 MAISONS-LAFFITTE,"['Ecole elementaire privee Montessori International les rayons de soleil', 'Ecole secondaire privee Montessori international - la Foret']"
34 RUE DE LA REUNION 75020 PARIS 20,"[""Ecole elementaire privee L'Autre College"", ""College prive L'Autre College""]"
34 RUE DU MOULIN JOLY 75011 PARIS,"['College prive Ozar Hatorah', 'Lycee prive Ozar Hatorah']"
34 VOIE POINTS DE VUE 77127 LIEUSAINT,['Lycee professionnel prive ICAM']
341 AVENUE DES BOULEAUX 78190 TRAPPES,['Institut medico-educatif la Rencontre']
35  RUE GEORGES SOREL 92100 BOULOGNE-BILLANCOURT,['Institut medico educatif Croix Rouge G. Sorel']
35 AVENUE ANATOLE FRANCE 93600 AULNAY-SOUS-BOIS,['Ecole primaire privee Esperance']
35 AVENUE DE SAINT-OUEN 75017 PARIS,"['Lycee prive Saint-Michel des Batignolles', 'College prive Saint-Michel des Batignolles']"
35 RUE ANATOLE FRANCE 93622 AULNAY-SOUS-BOIS,"[""Lycee general prive l'Esperance""]"
35 RUE COMPANS 75019 PARIS 19,['Institut Medico-Professionnel de l Association Pour Adultes et Jeunes Handicapes (APAJH)']
35 RUE JEAN BAPTISTE MARCHAND 78200 MANTES-LA-JOLIE,['Ecole primaire privee La Boussole']
35 RUE JUSSIEU 75005 PARIS  5,['E.P.PR SAINT-VICTOR 35 rue Jussieu']
35 RUE MIGUEL HIDALGO 75019 PARIS 19,['E.P.PR IGOUD H AREDI 35 rue Miguel Hidalgo']
35 RUE REMILLY 78000 VERSAILLES,"[""Ecole secondaire privee Jeanne d'Arc""]"
35 RUE DE CHABROL 75010 PARIS,['College prive Bossuet-Notre-Dame']
35 RUE DE CLICHY 75009 PARIS  9,['Centre Prive H3 Campus Paris']
36 AVENUE JEAN JAURES MORET SUR LOING 77250 MORET-LOING-ET-ORVANNE,"[""Ecole primaire privee Notre Dame d'Esperance""]"
36 AVENUE DU 8 MAI 1945 91120 PALAISEAU,"['Ecole primaire privee Saint Martin', 'Lycee polyvalent prive Saint-Martin']"
36 AVENUE DU PRESIDENT WILSON 94230 CACHAN,['Lycee professionnel Robert Keller - Le Foyer de Cachan']
36 CHEMIN DE SAINT-LEGER 93240 STAINS,['IME Les Hortillons']
36 RUE EUGENE VARLIN 94500 CHAMPIGNY-SUR-MARNE,"[""Ecole Maternelle privee l'Olivier des Enfants""]"
36 RUE GRANDE CEINTURE 94100 SAINT-MAUR-DES-FOSSES,['College prive Padre-Pio']
36 RUE LOUIS ULBACH 92400 COURBEVOIE,['Ecole maternelle privee montessori - 21 Courbevoie']
36 RUE PIERRET 92200 NEUILLY-SUR-SEINE,['Ecole maternelle privee  les petites canailles.']
36 RUE RAMPONEAU 75020 PARIS 20,['E.P.PR OR THORA 36 rue Ramponeau']
36 RUE SAINT-BARTHELEMY 77007 MELUN,"[""Section d'enseignement professionnel du lycee polyvalent Saint Aspais"", 'Lycee Saint-Aspais']"
363 BIS RUE DES PYRENEES 75020 PARIS 20,"[""Centre Prive d'Etudes Superieures Alternees en Communication""]"
37 RUE JULIEN PERIN 92160 ANTONY,['Etablissement pour infirmes moteurs Centre de reeducation motrice Elisabeth de la Panouse-Debre']
37 ALLEE LA FONTAINE 93340 LE RAINCY,"['College Saint-Louis Sainte-Clotilde', 'Lycee general prive Saint-Louis Sainte-Clotilde']"
37 RUE DES GRILLES 93500 PANTIN,['Ecole Maternelle Moderato Montessori']
37 RUE PIERRE BROSSOLETTE 93500 PANTIN,['Ecole primaire privee Les Benjamins']
37 RUE SAINT ROCH 75001 PARIS  1ER ARRONDISSEMENT,['E.P.PR NOTRE-DAME-SAINT-ROCH 37 rue Saint Roch']
37 RUE DE LA DIVISION LECLERC 78460 CHEVREUSE,['Institut medical educatif Etablissement pour enfants sours aveubles de Chevreuse']
37 RUE DES MARTYRS 75009 PARIS  9,['Cours Paul Verlaine (Ecole secondaire privee)']
38  RUE DES ONZE ARPENTS 95130 FRANCONVILLE,['Externat medico Pedagogique Les sources']
38 RUE D'ETIENNE D'ORVES 94320 THIAIS,"[""IME L'Arc en Ciel""]"
38 RUE MOULIN JOLY 75011 PARIS 11,['E.P.PR OZAR HATORAH 38 rue Moulin Joly']
38 RUE PARMENTIER 93100 MONTREUIL,['Lycee general prive Lab School Montreuil']
38 RUE REMILLY 78000 VERSAILLES,['Ecole elementaire privee Saint Joseph des Lys']
39 BIS RUE ARISTIDE BRIAND 94360 BRY-SUR-MARNE,['Ecole Pilote Arborescences']
39 BIS RUE ARISTIDE BRIAND ARISTIDE BRIAND 94360 BRY-SUR-MARNE,['College Pilote Arborescences']
39 RUE CHAMPLOUIS 91100 CORBEIL-ESSONNES,['Ecole primaire privee Sainte Marie']
39 RUE MALMAISON 93172 BAGNOLET,"[""Ecole primaire privee Saint Benoit de l'Europe""]"
39 RUE SAINT LAZARE 95290 L'ISLE-ADAM,['Ecole primaire privee Institution Notre-Dame']
39 RUE SAINT-LAZARE 95290 L'ISLE-ADAM,['College Notre-Dame']
39 RUE DE LA GRANGE AUX BELLES 75010 PARIS 10,"[""Ecole Superieure d'Image et du Son""]"
39 RUE DU GENERAL DE GAULLE 95320 SAINT-LEU-LA-FORET,['Ecole primaire privee Institution Le Rosaire']
39 RUE DU GENERAL DE GAULLE 95321 SAINT-LEU-LA-FORET,['College Le Rosaire']
39-45 RUE RASPAIL 93100 MONTREUIL,['Lycee professionnel prive ORT Daniel Mayer']
39-45 RUE RASPAIL 93107 MONTREUIL,['Lycee general prive ORT Daniel Mayer']
4 ALLEE DES COQUELICOTS 94470 BOISSY-SAINT-LEGER,"[""Institut d'education moteur de Boissy-Saint-Leger""]"
4 RUE CHARAINTRU 91360 EPINAY-SUR-ORGE,['Institut medico educatif  Sillery']
4 BIS AVENUE KENNEDY 78100 SAINT-GERMAIN-EN-LAYE,"[""Ecole d'enseignement technologique privee Sportifs de Haut Niveau""]"
4 BOULEVARD HONORE DE BALZAC 92000 NANTERRE,['Institut medico educatif Balzac']
4 PLACE DU GENERAL DE DE GAULLE 93100 MONTREUIL,['Etablissement Alice BLUM-RIBES']
4 ROUTE DE CARMEL 91640 BRIIS-SOUS-FORGES,['Ecole elementaire privee TARCISIUS']
4 RUE DE POISSY 78130 LES MUREAUX,['Institut therapeutique educatif et pedagogique Jeanne Chevillotte']
4 RUE GENERAL LECLERC 78200 BUCHELAY,['Ecole elementaire privee Pilcalli']
4 RUE JEAN LURCAT 95200 SARCELLES,['Ecole elementaire privee NER']
4 RUE JEAN LURCAT 95200 SARCELLES,"['Ecole 2D degre general privee Torah or', 'Ecole secondaire privee Torah Or']"
4 RUE LES PETITS CHAMPS 77820 LE CHATELET-EN-BRIE,['IME Handas']
4 RUE PRESIDENT KENNEDY 94220 CHARENTON-LE-PONT,['College Notre-Dame des Missions']
4 RUE SAINT FIACRE 78000 VERSAILLES,['GROUPE ICS']
4 RUE VICTOR HUGO CHATEAU DE LA NORVILLE 91290 LA NORVILLE,['Etablissement pour Deficients Visuels C.M.P.S.I']
4 RUE AVENUE DE LA REPUBLIQUE 91260 JUVISY-SUR-ORGE,['Ecole primaire privee Sainte Anne']
4 RUE DE FLEURUS 75006 PARIS  6,['E.M.PR ECOLE A.P.E. 4 rue de Fleurus']
4 RUE DE MALLEVILLE 95880 ENGHIEN-LES-BAINS,['Ecole primaire privee Saint Louis Sainte Therese']
4 RUE DE SOMME PY 95100 ARGENTEUIL,['Ecole primaire privee Notre-Dame']
4 RUE DU GENERAL LECLERC 78200 BUCHELAY,['Ecole secondaire privee Pilcalli']
4 RUE DU PRESIDENT KENNEDY 94220 CHARENTON-LE-PONT,"['Lycee Notre-Dame des Missions St Pierre', 'Ecole primaire privee Institut Notre Dame des Missions Saint Pierre']"
4 SQUARE FLORA TRISTAN 77680 ROISSY-EN-BRIE,['Ecole maternelle privee Graine de Moutarde']
4 TER RUE DES VALLEES 91800 BRUNOY,['Instiut medico educatif Les vallees']
4-6 RUE MICHEL DE BOURGES 75020 PARIS 20,['E.M.PR ETINCELLE MONTESSORI 4-6 rue Michel de Bourges']
40  RUE MONTAGNE STE GENEVIEVE 75005 PARIS  5,['Institut Monge']
40 AVENUE DE STALINGRAD 94120 FONTENAY-SOUS-BOIS,"['Externat medico-pedagogique de Fontenay-sous-Bois', 'Externat medico-professionnel - Centre Emile Ducommun']"
40 BIS RUE VICTOR HUGO 94700 MAISONS-ALFORT,['Ecole primaire privee Saint Francois']
40 RUE JEAN DE LA FONTAINE 75016 PARIS,"[""Lycee technologique prive Sainte-Therese Apprentis d'Auteuil"", ""Lycee professionnel prive Sainte-Therese Apprentis d'Auteuil""]"
40 RUE SAINT JUSTE 95400 ARNOUVILLE,['Ecole elementaire privee Bilingue Franco-Armenienne HRANT DINK']
40 RUE DE LA COLONIE 75013 PARIS 13,['Groupe Medicis - Medicis business school']
41 AVENUE HENRI MARTIN 94100 SAINT-MAUR-DES-FOSSES,['Ecole Maternelle Privee School Time']
41 AVENUE DE LA GRANDE ARMEE 75016 PARIS 16,['E.E.PR CONCORDIA BILINGUAL SCHOOL 41 avenue de la Grande Armee']
41 RUE BREGUET 75011 PARIS 11,['E.M.PR Douces Maternelles Breguet']
41 RUE RENE DORME 78330 FONTENAY-LE-FLEURY,['Ecole secondaire privee Cours Sainte Clotilde']
41 RUE RENE DORNE 78330 FONTENAY-LE-FLEURY,['Ecole primaire privee Sainte Clotilde']
41 RUE SAINT SABIN 75011 PARIS 11,['Ecole generale et technologique privee Cours Progress']
41 RUE DE CHAAGE 77109 MEAUX,['College Sainte-Marie']
42  BOULEVARD BIRON 93400 SAINT-OUEN-SUR-SEINE,['IME Croizat Ambroise']
42 ALLEE DES CHARMILLES 93190 LIVRY-GARGAN,['Ecole maternelle Microstars Le Raincy']
42 AVENUE DU ROULE 92200 NEUILLY-SUR-SEINE,"[""Etablissement pour infirmes moteurs Centre de reeducation notre Dame -  Institut d'Education Motrice""]"
42 RUE BREGUET 75011 PARIS 11,['Ecole Maternelle Privee Douces Maternelle Breguet 2']
42 RUE DANTON 94270 LE KREMLIN-BICETRE,['Ecole Primaire Montessori 101']
43 AVENUE RAYMOND POINCARE 91330 YERRES,['Ecole primaire privee Beth Rivkah']
43 AVENUE DU 8 MAI 1945 95200 SARCELLES,['Ecole elementaire prive Gueoulat Israel des Institutions Loubavitch']
43 RUE DECAMP 75016 PARIS 16,['Ecole primaire privee Hattemer']
43 RUE FALGUIERE 75015 PARIS 15,['Institut Medico Educatif Notre Ecole']
43 RUE FRANCOIS GERARD 75016 PARIS 16,['E.P.PR MONTESSORI ESCLAIBES 43 rue Francois Gerard']
43 RUE PASTEUR 77740 COUILLY-PONT-AUX-DAMES,['College Sainte-Therese']
43 RUE DE STALINGRAD 78500 SARTROUVILLE,"['Ecole secondaire privee Cours Chateau', 'Ecole elementaire privee Cours Prive du Chateau']"
43 RUE DU GENERAL DE GAULLE 78490 LE TREMBLAY-SUR-MAULDRE,"[""Centre horticole d'enseignement et de promotion - L'Ecole du savoir vert""]"
44 AVENUE ANATOLE FRANCE 92700 COLOMBES,['Institut medico educatif Pierre Huet']
44 BOULEVARD AUGUSTE BLANQUI 75013 PARIS,"[""Section d'enseignement professionnel du lycee prive Le Rebours"", 'Lycee prive Le Rebours']"
44 BOULEVARD GEORGES CLEMENCEAU 78200 MANTES-LA-JOLIE,['Ecole secondaire privee Bilingue musulman Eva de Vitray']
44 RUE DE LA FONTAINE D'AMOUR 95270 VIARMES,['Ecole elementaire privee Les petites souris de Montessori']
44 RUE GABRIEL-PERI 92120 MONTROUGE,"[""Lycee Jeanne d'Arc""]"
44 RUE MARIUS JACOTOT 92800 PUTEAUX,['Ecole maternelle privee creche prunelle']
44 RUE DE GRENELLE 75007 PARIS,"[""Lycee prive Saint-Thomas d'Aquin""]"
45  RUE DE MONTREUIL 75011 PARIS 11,['Ecole privee internationale de Coiffure']
45 ROUTE D'ARTONDU 91150 ORMOY-LA-RIVIERE,"[""MFREO D'ORMOY LA RIVIERE""]"
45 RUE DU FOSSE 78600 MAISONS-LAFFITTE,['Ecole elementaire privee Sainte Marie']
450 CLOS DE LA COURTINE 93160 NOISY-LE-GRAND,"[""Institut Medico Educatif L'Envol""]"
46  RUE LAVOISIER 93110 ROSNY-SOUS-BOIS,"[""Centre pour autistes Le Soleil d'Or""]"
46 AVENUE EGLE 78600 MAISONS-LAFFITTE,"[""Ecole elementaire privee L'Ermitage""]"
46 AVENUE DU GENERAL LECLERC 93250 VILLEMOMBLE,['Ecole elementaire privee Les Sarments 93']
46 RUE RAYMOND BERRURIER 78320 LE MESNIL-SAINT-DENIS,['Ecole 2D degre polyvalent privee Sports Etudes Academy le Mesnil']
46 RUE DE MONTREUIL 75011 PARIS 11,"['Lycee general prive Lab School', 'E.E.PR LAB SCHOOL PARIS 46 rue de Montreuil', 'Ecole Secondaire Privee Lab School']"
47 AVENUE ANATOLE FRANCE 94100 SAINT-MAUR-DES-FOSSES,['IME Saint-Maur-des-Fosses']
47 AVENUE DU DOCTEUR ARNOLD NETTER 75012 PARIS 12,['Institut Medico Educatif Maia Autisme']
47 RUE MONTCALM 75018 PARIS,['College prive Saint-Louis']
47 RUE SAINT LAURENT 77400 LAGNY-SUR-MARNE,"['College Saint-Laurent-La Paix Notre-Dame', 'Ecole primaire privee Saint-Laurent La Paix Notre Dame']"
47 RUE DE NAPLES 75008 PARIS,"['Lycee prive Fenelon Sainte-Marie La Plaine Monceau', 'College prive Fenelon Sainte-Marie']"
48 ALLEE DARIUS MILHAUD 75019 PARIS 19,['E.M.PR M 48 allee Darius Milhaud']
48 BIS QUAI DE LA MARNE 75019 PARIS 19,['College prive Beth Aaron']
48 BOULEVARD ORLOFF 77300 FONTAINEBLEAU,['Ecole primaire privee Centre Actif Bilingue']
48 QUAI DE LA MARNE 75019 PARIS 19,['Lycee general prive Beth Aaron']
48 ROUTE DE SAINT-LEGER 78490 MONTFORT-L'AMAURY,['College Saint-Louis Notre-Dame du Bel Air']
48 RUE DU CHEMIN VERT 93800 EPINAY-SUR-SEINE,['Ecole A.G.S.J.S.C.']
48 RUE DANTZIG 75015 PARIS 15,['E.P.PR MONTESSORI 48 rue Dantzig']
48 RUE LOUIS GANDILLET 78420 CARRIERES-SUR-SEINE,['Ecole primaire privee we love momes']
48 RUE MESLAY 75003 PARIS  3,['E.M.PR DOUCES MATERNELLES MESLAY 48 rue Meslay']
48 RUE DE SEVRES 92100 BOULOGNE-BILLANCOURT,"['Ecole 2nd degre general privee- Ecole Diagonale - Supppletufe', 'Ecole secondaire privee Ecole Diagonale']"
48 RUE DE LA ROQUETTE 75011 PARIS 11,"[""Etablissement prive d'enseignement technique AURLOM PREPA""]"
49 RUE FORTUNE CHARLOT 95370 MONTIGNY-LES-CORMEILLES,['Institut medico educatif le clos du Parisis']
49 AVENUE DUQUESNE 75007 PARIS  7,['E.P.PR SAINTE-JEANNE ELISABETH 49 avenue duquesne']
49 AVENUE DU GENERAL DE GAULLE 78500 SARTROUVILLE,"['Ecole secondaire privee Cours Charles Peguy', 'Ecole elementaire privee Cours Charles Peguy']"
49 RUE BOBILLOT 75013 PARIS,"[""Section d'Enseignement Professionnel du Lycee polyvalent prive Notre-Dame (Saint-Vincent-de-Paul)"", 'College prive Sainte-Marie', 'Lycee polyvalent prive Notre-Dame (Saint-Vincent-de-Paul)']"
49 RUE JEAN JAURES 77440 LIZY-SUR-OURCQ,['Ecole primaire privee Saint-Albert']
49 RUE LEMERCIER 75017 PARIS 17,['E.M.PR LA PRESCHOOL DES BATIGNOLLES 49 rue Lemercier']
49 RUE PETIT 75019 PARIS,['College prive Beth Hanna']
49 RUE PETIT 75019 PARIS 19,"['E.M.PR PARDESS HANNA 49 rue Petit', 'E.E.PR BETH HANNA 49 rue Petit']"
49 RUE DE RANELAGH 75016 PARIS 16,['E.M.PR AT MONTESSORI RANELAGH 49 rue de Ranelagh']
49-51 RUE PETIT 75019 PARIS,['Lycee prive Beth Hanna']
5 RUE RAVON 92340 BOURG-LA-REINE,['Etablissement pour deficients auditifs Etablissement medico-educatif - Institut National pour les jeunes sourds']
5 AVENUE DE LA REPUBLIQUE 75011 PARIS 11,['Institut Prive Europeen des Entreprises']
5 AVENUE DU MARECHAL JOFFRE 95270 LUZARCHES,"[""Ecole elementaire privee l'esperance""]"
5 BIS RUE ANTOINE RICHARD 78000 VERSAILLES,['Ecole elementaire privee bilingue Maria Montessori']
5 BIS RUE DES DAMES 75017 PARIS 17,['Institut Medico-Educatif Maison Perce-Neige Alternace Paris']
5 PLACE DE L'ANCIEN MARCHE 94130 NOGENT-SUR-MARNE,['College Saint-Andre']
5 RUE ANQUETIL 94731 NOGENT-SUR-MARNE,"[""Institut National de Formation et d'Application""]"
5 RUE ARBLADE 92240 MALAKOFF,['Ecole primaire privee Notre-Dame France']
5 RUE BLOMET 75015 PARIS,"['College prive Blomet', 'Lycee prive Blomet']"
5 RUE BUOT 75013 PARIS 13,['E.M.PR MONTESSORI LA BALEINE 5 rue Buot']
5 RUE CHAPONVAL 78870 BAILLY,['Ecole  2D degre general  privee Saint Bernard']
5 RUE DE PENTHIEVRE 77580 CRECY-LA-CHAPELLE,"[""Ecole primaire Montessori Le Verger d'Elisa""]"
5 RUE EMILE DUBOIS 75014 PARIS 14,['Cours prive Alfred de Musset']
5 RUE LEON GIRAUD 75019 PARIS 19,['E.P.PR SAINTE-THERESE 5 rue Leon Giraud']
5 RUE OLIVIER NOYER 75014 PARIS 14,['Centre Augustin Grosselin']
5 RUE RENE ROBIN 94200 IVRY-SUR-SEINE,"[""Lycee professionnel CE3P - Ecole de photographie et des techniques de l'image"", 'Lycee technologique prive CE3P']"
5 RUE SALOMON REINACH 78100 SAINT-GERMAIN-EN-LAYE,"['Ecole elementaire privee Saint Erembert', 'College Saint-Erembert', 'Lycee professionnel Saint-Erembert', 'Lycee Saint-Erembert']"
5 RUE YEO-THOMAS 75013 PARIS,['College prive Regain Tournesol']
5 RUE D'AGUESSEAU 75008 PARIS  8,"[""E.P.PR ECOLE CANADIENNE BILINGUE PARIS 5 rue d'Aguesseau"", 'Ecole Canadienne de Paris', 'Ecole Canadienne de Paris']"
5 RUE DE LUBECK 75016 PARIS 16,['E.P.PR EURECOLE 5 rue de Lubeck']
5 RUE DE L'ANCIENNE EGLISE 91230 MONTGERON,"['College Sainte-Therese', 'Ecole primaire privee Sainte Therese']"
5 RUE DE LA GRANDE COLOMBE RAMBOUILLET 78120 RAMBOUILLET,['Ecole 2D degre professionnel privee Maison Familiale de la Grange Colombe']
5 RUE DE LA MADONE 75018 PARIS,['Lycee prive Charles de Foucauld']
5 RUE DE LA SABLONNIERE 78930 GOUSSONVILLE,['Ecole elementaire privee Notre-Dame de la Sablonniere']
5 RUE DE LA GRANGE COLOMBE 78120 RAMBOUILLET,['MFREO de Rambouillet']
5 RUE DU 19 MARS 1962 77170 BRIE-COMTE-ROBERT,['College prive Sainte-Colombe']
5 RUE DU CLOS DE MALEVART 75011 PARIS 11,['LT PR Adonis Education']
5 RUELLE DE LA DEMI-LUNE 92260 FONTENAY-AUX-ROSES,['Ecole elementaire prive Saint Vincent de Paul']
5-6 RUE DE L'EGLISE 94340 JOINVILLE-LE-PONT,"[""Lycee professionnel de l'ensemble Sainte-Marie""]"
50 AVENUE OTIS MYGATT 92508 RUEIL-MALMAISON,['Lycee professionnel Passy Buzenval']
50 AVENUE DU COLONEL ROL-TANGUY 93240 STAINS,['Lycee Professionnel Ecole de production Paris Grand Nord']
50 BIS RUE PASTEUR 78440 GARGENVILLE,['Ecole secondaire privee Montessori de Gargenville']
50 BIS RUE DES PRAIRIES 75020 PARIS,"['College prive Beth Yacov', 'Lycee prive Beth Yacov']"
50 QUAI CHARLES PASQUA 92300 LEVALLOIS-PERRET,"['Ecole secondaire privee Walt', 'Ecole elementaire privee walt']"
50 RUE BECQUEREL 77500 CHELLES,"['Lycee Professionnel prive Oneschool Global Paris Campus', 'College prive Oneschool Global Paris Campus']"
50 RUE BECQUEREL 77500 CHELLES,['LGT prive Oneschool Global Paris Campus']
50 RUE HENRI BECQUEREL 77500 CHELLES,['Ecole elementaire privee Oneschool Global Paris Campus']
50 RUE OTIS MYGATT 92500 RUEIL-MALMAISON,['College Passy Saint-Nicolas Buzenval']
50 RUE STEPHENSON 75018 PARIS 18,['E.P.PR SAINT-BERNARD SAINTE-MARIE 50 rue Stephenson']
50 RUE DU 27 AOUT 1944 77450 MONTRY,['Ecole elementaire privee Internationale Marne-La-Vallee']
51 QUAI ALPHONSE LE GALLO 92100 BOULOGNE-BILLANCOURT,"[""ECOLE ELEMENTAIRE PRIVEE Gerbert d'aurillac""]"
51 RUE MADAME 75006 PARIS  6,['E.P.PR BOSSUET 51 rue Madame']
51 RUE RENE CLAIR 75018 PARIS 18,['Institut Medico-Educatif Robert Doisneau']
51 RUE ROUGET DE L'ISLE 93500 PANTIN,['Ecole Elementaire Moderato Montessori']
51 RUE DE LAGNY 94300 VINCENNES,['Ecole Maternelle bilingue Motessori Les Petites Canailles']
52 AVENUE P VAILLANT COUTURIER 95140 GARGES-LES-GONESSE,"[""Institut medico educatif L'espoir""]"
52 RUE BROCA 75005 PARIS  5,['E.M.PR DOUCE MATERNELLE BROCA 52 rue Broca']
52 RUE DE LONDRES 75008 PARIS  8,['Lycee general prive Cours Hattemer']
52 RUE LAFFITTE 75009 PARIS  9,"[""Guinot Mary Cohr l'Academie""]"
52 RUE LAFITTE 75009 PARIS  9,"[""Ecole privee Campus de l'Esthetique et du Spa""]"
52 RUE MIGUEL HIDALGO 75019 PARIS 19,"['Ecole Secondaire Privee Torat Hessed', 'Lycee general prive Torath Hessed']"
52 RUE SAINT-LAZARE 75009 PARIS  9,"[""Institut europeen de tourisme et d'hotellerie""]"
52 RUE VANEAU 75007 PARIS,"['Lycee prive Therese Chappuis - Lycee prive Saint Francois de Sales-Therese Chappuis', 'College prive Therese Chappuis']"
52 RUE VOLTAIRE 93100 MONTREUIL,['IEM GIMC MONTREUIL']
52 RUE DE LONDRES 75008 PARIS  8,"['Ecole secondaire privee Hattemer', 'E.P.PR HATTEMER 52 rue de Londres']"
52 RUE DE LA POMPE 75016 PARIS 16,['E.P.PR PROVIDENCE PASSY 52 rue de la Pompe']
53 AVENUE LARROUMES 94240 L'HAŸ-LES-ROSES,['IME Monique Guilbot']
53 AVENUE MASSENAT-DEROCHE 91460 MARCOUSSIS,['Lycee professionnel horticole et paysager UFA Saint-Antoine']
53 RUE ERLANGER 75016 PARIS 16,['E.P.PR THE BILINGUAL MONTESSORI SCHOOL OF PARIS Auteuil 53 rue Erlanger']
53 RUE PIERRE BROSSOLETTE 95200 SARCELLES,"['Lycee La Salle-Saint Rosaire', 'Ecole primaire privee La Salle.Saint-Rosaire', 'College La Salle-Saint Rosaire']"
53 RUE DE LA GARE DE REUILLY 75012 PARIS,"['College prive Saint-Michel de Picpus', 'Lycee prive Saint-Michel de Picpus']"
53 RUE DU GENERAL CAREY DE BELLEMARE 92500 RUEIL-MALMAISON,['Ecole primaire privee Charles Peguy']
53 RUE DU ROCHER 75008 PARIS  8,['E.M.PR LE PETIT COURS DU ROCHER 53 rue du Rocher']
53 RUE LA FONTAINE 75016 PARIS 16,['E.E.PR LE COURS DU SOLEIL 53 rue la Fontaine']
54 AVENUE DE LA REPUBLIQUE 75011 PARIS,['College prive Charles Peguy']
54 BOULEVARD RODIN 92130 ISSY-LES-MOULINEAUX,['Ecole maternelle privee marmaroun']
54 BOULEVARD RODIN 92130 ISSY-LES-MOULINEAUX,['Ecole primaire privee marmaroun']
54 RUE GARDENAT LAPOSTOL 92150 SURESNES,['Ecole maternelle privee Pardess Haya']
54 RUE DE L'ANCIENNE MAIRIE 92100 BOULOGNE-BILLANCOURT,"[""Ecole primaire privee Saint Francois d'Assise""]"
55 AVENUE JEAN LOLIVE 93500 PANTIN,['Ecole elementaire privee Montessori 21 de Pantin']
55 RUE DENFERT ROCHEREAU 92100 BOULOGNE-BILLANCOURT,['Etablissement pour poly-handicapes Institut medico educatif Solfege']
55 RUE GABRIEL PERI 95240 CORMEILLES-EN-PARISIS,"['Ecole primaire privee Institution Saint Charles', 'College Saint-Charles']"
55 RUE PAUL BARRUEL 75015 PARIS 15,['E.M.PR LILY SCHOOL PARIS 55 rue Paul Barruel']
55 RUE DE VERDUN 94800 VILLEJUIF,['Lycee GT Saint-Joseph']
56 QUAI AUGUSTE ROY 78510 TRIEL-SUR-SEINE,['Ecole elementaire privee Notre-Dame de clarte']
56 RUE EDOUARD VAILLANT 92300 LEVALLOIS-PERRET,['Ecole primaire privee Sainte Marie de La Providence']
56 RUE D'HAUTEVILLE 75010 PARIS 10,"[""E.P.PR BOSSUET-NOTRE-DAME 56 rue d'Hauteville""]"
56 RUE DE PASSY 75016 PARIS 16,"['College Kingsworth International School', 'E.E.PR KINGSWORTH INTERNATIONAL SCHOOL 56 rue de Passy', 'Lycee Kingsworth International School']"
56 RUE DE L'AIGLE DE L'AIGLE 92250 LA GARENNE-COLOMBES,['Ecole maternelle privee Gan Lechaim']
56 RUE DU PRE SAINT GERVAIS 75019 PARIS 19,"[""E.P.PR MONTESSORI PLAISIR D'ENFANCE 56 rue du Pre Saint Gervais""]"
57 AVENUE JEAN LOLIVE 93500 PANTIN,['College prive Montessori 21 Paris-Villette Pantin']
57 BOULEVARD DE LA REPUBLIQUE 78400 CHATOU,['Ecole maternelle privee Gan Lehaim Chatou']
57 RUE DE LA CONCORDE 92600 ASNIERES-SUR-SEINE,['Institut medico educatif Commanderie du feu vert']
57 RUE RIQUET 75019 PARIS 19,['Cours Herve']
57 RUE D'ASCQ 95100 ARGENTEUIL,['College prive  Cours Charlemagne']
57 RUE DE LA GARENNE 78500 SARTROUVILLE,['Institut medico educatif Chemin des Lauris']
58 AVENUE EDOUARD DEPREUX 92290 CHATENAY-MALABRY,['Institut medico educatif Jeune Appedia']
58 RUE DE LA SABLIERE 92600 ASNIERES-SUR-SEINE,['Ecole maternelle privee 123 mon ecole Asnieres']
59 BIS AVENUE DE SEGUR 75007 PARIS  7,"['College prive The Lennen Bilingual School', 'E.P.PR The Lennen Bilingual School 59 bis avenue de Segur']"
59 RUE DU FAUBOURG SAINT MARTIN 75010 PARIS 10,['Institut Medico Educatif Dysphasia']
6  RUE HOSPITALIERES ST GERVAIS 75004 PARIS  4,['Institut Medico Educatif Binet Simon']
6 RUE RICHEPIN 93160 NOISY-LE-GRAND,['Centre Jean Richepin']
