AdresseEtablissementPrive,NomEtablissementPrive
15 ROUTE DE LA PASSERELLE 78110 LE VESINET,"['Ecole elementaire privee Sainte Odile', 'Ecole Privee Sainte-Odile']"
15 RUE BERANGER 78170 LA CELLE-SAINT-CLOUD,"['Ecole elementaire privee Sainte Marie', 'Ecole Privee Sainte-Marie']"
15 RUE EDGAR FAURE 75015 PARIS 15,"['E.P.PR JEANNINE.MANUEL 15 rue Edgar Faure', 'Ecole Jeannine Manuel']"
15 RUE DES LOUVIERS 78100 SAINT-GERMAIN-EN-LAYE,"['Ecole elementaire privee Saint Thomas de Villeneuve', 'College prive Saint Thomas de Villeneuve', 'Lycee professionnel Saint-Thomas de Villeneuve', 'Lycee Saint-Thomas de Villeneuve', 'College Prive Saint-Thomas de Villeneuve', 'Ecole Privee Saint Thomas de Villeneuve', 'Lycee General, Technologique et Professionnel Prive Saint-Thomas de Villeneuve', 'Lycee General et Technologique Prive Saint-Thomas de Villeneuve', 'Lycee Professionnel Prive Saint Thomas de Villeneuve']"
150 RUE ANDRE KARMAN 93300 AUBERVILLIERS,"['College prive Chne Ohr', 'College Chne Ohr']"
16 ALLEE DES HETRES 93340 LE RAINCY,"['Ecole primaire privee Saint Louis- Sainte Clotilde', 'Ecole Privee Saint-Louis-Sainte-Clotilde']"
16 RUE BASFROI 75011 PARIS 11,"['E.P.PR SAINTE-MARGUERITE 16 rue Basfroi', 'Ecole Privee Sainte Marguerite']"
16 RUE HENRI BARBUSSE 93370 MONTFERMEIL,"[""Ecole primaire privee Sainte Jeanne d'Arc"", ""Ecole Privee Sainte-Jeanne d'Arc""]"
16 RUE REMILLY 78000 VERSAILLES,"[""Ecole elementaire privee d' Hulst"", 'Ecole Privee Saint Jean Hulst']"
16 RUE TACLET 75020 PARIS 20,"['E.P.PR NOTRE-DAME DE LOURDES 16 rue Taclet', 'College Prive Notre-Dame de Lourdes']"
165 BOULEVARD BRUNE 75014 PARIS 14,"['E.M.PR LE JARDIN D EGLANTINE 165 boulevard Brune', ""Le Jardin d'Eglantine""]"
17 AVENUE RHIN ET DANUBE 92250 LA GARENNE-COLOMBES,"['Ecole 2D degre professionnel privee du Service a la Personne', 'Lycee Professionnel ESP']"
17 RUE ANATOLE FRANCE 93110 ROSNY-SOUS-BOIS,"['Ecole maternelle privee Les Merveilles', 'Ecole Maternelle Bilingue Les Merveilles - Montessori']"
175 RUE D'AGUESSEAU 92100 BOULOGNE-BILLANCOURT,"[""Ecole elementaire privee l'Autre Ecole"", ""L'Autre Ecole Boulogne""]"
18 BOULEVARD FELIX FAURE 93200 SAINT-DENIS,"['Ecole primaire privee Saint Vincent de Paul', 'Lycee professionnel prive Saint Vincent de Paul', 'College Saint-Vincent-de-Paul', 'College Prive Saint-Vincent de Paul', 'Lycee Saint-Vincent de Paul', 'LP Prive Saint-Vincent-de-Paul']"
18 BOULEVARD MAGINOT 77300 FONTAINEBLEAU,"[""Lycee Jeanne d'Arc - Saint-Aspais"", ""Lycee Prive Jeanne-d'Arc - Saint-Aspais""]"
19 RUE JEAN-FRANCOIS MARMONTEL 94320 THIAIS,"['College Cours du Hameau', 'Cours du Hameau']"
19 RUE SAINT DENIS 93100 MONTREUIL,"['Ecole primaire privee Fidelis', 'Ecole Privee Fidelis']"
19 RUE SAINT-DENIS 93100 MONTREUIL,"['College Fidelis', 'College Prive Fidelis']"
